stop_id,stop_name,stop_lat,stop_lon,hasPark
STOP_f24b301d-699f-4911-8ac0-60f2867a047e,Snellville P&R,33.8537913,-84.0154445,TRUE
Spring St (NB) @ Brotherton St,Spring St (NB) @ Brotherton St,33.74875018,-84.39797184,FALSE
6898,Spring St @ 17th St,33.7903204,-84.3894196,FALSE
6901,Spring St @ 5th St,33.7770249,-84.3889046,FALSE
6909,Spring St @ W Peachtree Pl,33.7638343,-84.3889046,FALSE
6903,Spring St just before Linden Ave,33.77073318,-84.38896364,FALSE
6950,Stockbridge P&R,33.5481698,-84.2789904,TRUE
6987,Stone Mountain P&R,33.8224138,-84.1099548,TRUE
STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85,Sugarloaf Mills P&R,33.9842748,-84.0794849,TRUE
Sugarloaf Mills P&R (GCT),Sugarloaf Mills P&R (GCT),33.98331276,-84.08417535,TRUE
Ted Turner Dr (NB) @ Mitchell St,Ted Turner Dr (NB) @ Mitchell St,33.75220879,-84.39578455,FALSE
Ted Turner Dr (SB) @ Brotherton St,Ted Turner Dr (SB) @ Brotherton St,33.74918754,-84.39803505,FALSE
STOP_b7df8404-b783-4731-a3de-33b77167f80e,Thornton Rd @ Bankhead Hwy,33.7973464,-84.6436715,FALSE
STOP_7050625b-a9d6-45dd-9ea8-79d7e55968c6,Thornton Rd @ Bankhead Hwy N,33.7975603,-84.6435857,FALSE
STOP_e3133ab4-8cb7-4555-93b3-3faba9b51fe7,Thornton Rd @ Maxham Rd,33.7893753,-84.6237159,FALSE
STOP_82875802-85f5-44e6-86a6-eb0b5d77b45d,Thornton Rd @ Maxham Rd N,33.7897587,-84.623791,FALSE
STOP_0c2e82f3-d5a1-4a82-bcbf-219194c3301b,Thornton Rd @ N Blairs Bridge Rd N,33.7795575,-84.6068823,FALSE
STOP_16153206-724d-4aac-a936-7ade27ff5271,Thornton Rd @ N Blairs Bridge Rd S,33.7794773,-84.6072257,FALSE
STOP_40f29da1-1006-4e7b-8041-2f98b7c895de,Thornton Rd @ Oak Ridge Rd,33.783392,-84.6097684,FALSE
STOP_d5b4d0b9-f615-40ee-8dc1-f9edacf74962,Thornton Rd @ Skyview Dr,33.7819385,-84.6088672,FALSE
STOP_cc2a7a34-e728-4710-bc09-9cb16ae12282,Thornton Rd @ Westfork Blvd,33.792291,-84.6300995,FALSE
STOP_7be618c3-765a-4f46-83a4-1b306a89f681,Town Center/Big Shanty,34.0275707,-84.5705652,FALSE
6933,Triangle Pkwy at Metric Dr (N),33.9753055,-84.2239274,FALSE
6932,Triangle Pkwy at Metric Dr (S),33.9753556,-84.2242891,FALSE
6953,Union City P&R,33.5866936,-84.5124578,TRUE
6916,W Johns Crossing @ Emory Hospital,34.067414,-84.1749179,FALSE
W Peachtree St @ 12th St,W Peachtree St @ 12th St,33.78425259,-84.38782298,FALSE
6896,W Peachtree St @ 5th St,33.7760885,-84.3872416,FALSE
6899,W Peachtree St @ Arts Center MARTA Station,33.7892148,-84.3876922,FALSE
6904,W Peachtree St @ Civic Center MARTA Station (northbound),33.7661533,-84.3874776,FALSE
6887,W Peachtree St @ Civic Center MARTA Station (southbound),33.7661444,-84.3875849,FALSE
6897,W Peachtree St @ Peachtree Pl,33.780596,-84.387328,FALSE
6894,W Peachtree St @ Ponce de Leon Ave,33.7721199,-84.3872631,FALSE
6900,W Peachtree St after 14 St,33.7869499,-84.3877137,FALSE
Wall St (EB) @ Central Ave,Wall St (EB) @ Central Ave,33.7526685,-84.38853165,FALSE
7008,Washington St @ MLK Jr Dr,33.7503117,-84.3884003,FALSE
6947,West Conyers P&R (Sigman Rd -  Downtown),33.6851303,-84.0588963,TRUE
6946,West Conyers P&R (Sigman Rd -  Midtown),33.6851328,-84.0566843,TRUE
2221057,West Conyers P&R (Sigman Rd - Perimeter),33.6850857,-84.0569758,TRUE
6990,West Douglas P&R,33.7232689,-84.7735226,TRUE
6873,Williams St @ Baker St,33.7624608,-84.3906641,FALSE
6976,Woodstock P&R (His Hands Church),34.0815631,-84.5417543,TRUE
8000,Mitchell St (EB) @ Forsyth St,33.751718,-84.394543,FALSE
