stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,ModeType
802,908516,INDIAN CREEK STATION,3901 DURHAM PARK RD & UNNAMED ST,33.769893,-84.229874,,,,,,0,rail
79900,904519,BANKHEAD STATION,BANKHEAD HWY NW & GARY AVE NW,33.77206,-84.428677,,,,,,0,rail
269,907960,BANKHEAD STATION,1335 DONALD LEE HOLLOWELL PKY NW & UNNAMED ST,33.772159,-84.428873,,,,,,0,rail
270,907961,BANKHEAD STATION,1335 DONALD LEE HOLLOWELL PKY NW & UNNAMED ST,33.772436,-84.428906,,,,,,0,rail
485,908963,ASHBY STATION,65 JOSEPH E LOWERY BLVD NW & UNNAMED ST,33.756478,-84.41723,,,,,,0,rail
486,908964,ASHBY STATION,65 JOSEPH E LOWERY BLVD NW & UNNAMED ST,33.756477,-84.417328,,,,,,0,rail
79028,904642,ASHBY STATION - EAST SIDE,0 JOSEPH E LOWERY BLVD NW & LENA ST NW,33.756066,-84.417371,,,,,,0,rail
99900,900231,WEST LAKE STATION - WEST LOOP,0 ANDERSONAVE SW & PENELOPERD  NW,33.752833,-84.445389,,,,,,0,rail
99901,900232,WEST LAKE STATION - EAST LOOP,W LAKE AVE SW & BROWNING ST SW,33.75263,-84.444719,,,,,,0,rail
28,908023,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753328,-84.445329,,,,,,0,rail
39,907906,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753247,-84.445568,,,,,,0,rail
27,907933,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754553,-84.469302,,,,,,0,rail
40,907907,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754517,-84.469824,,,,,,0,rail
98020,901140,HAMILTON E HOLMES STATION - OUTSIDE LOOP,0 MARTIN LUTHER KING JR DR SW & STONEHURST PL,33.754275,-84.470008,,,,,,0,rail
98900,903320,HAMILTON E HOLMES STATION - BUS LOOP,STONEHURST PL SW,33.753945,-84.468997,,,,,,0,rail
219,908704,WEST END STATION,680 LEE ST SW & UNNAMED ST,33.736564,-84.413653,,,,,,0,rail
220,908705,WEST END STATION,680 LEE ST SW & UNNAMED ST,33.735705,-84.413663,,,,,,0,rail
114900,114900,WEST END STATION,0 LEE  ST  SW & OGLETHORPE AVE SW,33.735899,-84.413542,,,,,,0,rail
123900,123900,OAKLAND CITY STATION,1356 LEE  ST  SW,33.717407,-84.426301,,,,,,0,rail
693,908301,OAKLAND CITY STATION,1400 LEE ST SW & MAIN ST,33.7173,-84.42503,,,,,,0,rail
694,908302,OAKLAND CITY STATION,1400 LEE ST SW & UNNAMED ST,33.716978,-84.425138,,,,,,0,rail
218,908629,LAKEWOOD-FT MCPHERSON STATION,2020 LEE ST SW & THOMPSON AVE,33.70088,-84.428768,,,,,,0,rail
221,908706,LAKEWOOD-FT MCPHERSON STATION,2020 LEE ST SW & MAIN ST,33.700298,-84.428865,,,,,,0,rail
217,908628,EAST POINT STATION,2848 MAIN ST & THOMPSON AVE,33.677424,-84.440542,,,,,,0,rail
222,908707,EAST POINT STATION,2848 MAIN ST & THOMPSON AVE,33.676985,-84.440704,,,,,,0,rail
146308,146308,EAST POINT ST @ WARE AVE,0 EAST POINT ST & WARE AVE,33.681845,-84.441526,,,,,,0,rail
146900,146900,EAST POINT STATION,0 MAIN ST & DORSEY  AVE,33.67657,-84.44046,,,,,,0,rail
166900,166900,COLLEGE PARK STATION - SOUTH LOOP,3784 E MAIN ST,33.651267,-84.448559,,,,,,0,rail
166901,166901,COLLEGE PARK STATION - NORTH LOOP,3784 E MAIN ST,33.651937,-84.448465,,,,,,0,rail
809,908599,COLLEGE PARK STATION,3800 E MAIN ST & UNNAMED ST,33.650577,-84.448656,,,,,,0,rail
820,907844,COLLEGE PARK STATION,3800 E MAIN ST & UNNAMED ST,33.650282,-84.448612,,,,,,0,rail
99969960,144950,BARGE RD PARK & RIDE,0 CAMPBELLTONRD  SW & BARGERD  SW,33.688804,-84.507221,,,,,,0,bus
183950,183950,SOUTH FULTON PARK & RIDE,3805 FLAT SHOALSRD,33.586794,-84.51233,,,,,,0,bus
99972547,212139,GRTA - RIVERDALE PARK & RIDE,LAMAR HUTCHESON PKY & VALLEY HILL RD SW,33.56835,-84.403322,,,,,,0,bus
