stops_link,distance
99970547_99970549,0.4218
153130_154014,0.2575
86019_99971995,0.2398
999762_81910,0.5583
95015_95017,0.277
111010_110002,0.2237
42009_42011,0.4558
134102_134104,0.1061
99972596_99973222,0.8338
106216_106218,0.116
183014_183950,0.7597
84318_84364,0.1688
107096_107094,0.1101
149010_149014,0.1211
59900_99970171,0.4507
99971374_79150,0.2606
14009_14010,0.462
99972803_99972796,0.6006
99134_78194,0.087
145088_145112,0.2266
176169_99971997,0.3523
153028_153126,0.1766
52032_52034,0.3288
86026_86032,0.249
122374_122028,0.2654
117006_117004,0.115
99969960_99971949,0.2784
59034_59036,0.2663
138092_138094,0.066
9031_9030,0.2171
99973154_99971126,0.2122
73060_72102,0.1887
150010_151054,0.8757
99972250_99108,0.2612
107238_107236,0.2135
69222_69224,0.0942
107338_107322,0.195
151152_99973206,0.8648
106008_106012,0.4501
55074_55070,0.1562
97266_99973200,0.2352
79134_78082,0.2031
190020_190022,0.1483
78030_78176,0.1883
144090_144092,0.1062
85198_85200,0.1813
106200_106204,0.1062
146364_146386,0.1348
73132_73058,0.2669
146246_146244,0.4443
99970529_99970530,0.1544
99973168_99972949,1.5443
99524_99244,0.1337
137018_137020,0.0711
98160_98126,0.2239
99970432_99970433,0.4039
206_800,1.5395
99972624_99972536,0.4863
147058_147060,0.155
115036_99970807,0.149
78334_78336,0.1141
78502_78312,0.1837
62010_62012,0.2365
61024_61026,0.3238
99972032_99970340,0.2987
53176_53182,0.7284
32036_32034,0.2396
99972917_99972804,0.5465
116092_115110,0.0891
99972308_66348,0.0945
97166_97168,0.119
85136_85464,0.3932
71342_99972193,0.1689
121014_121018,0.3234
146096_146098,0.1082
99296_99298,0.109
99973150_99973171,0.1928
120035_999969,0.4565
151012_140058,0.1782
133064_133150,0.4235
158096_158094,0.089
139040_139036,0.0799
100038_100036,0.103
107170_107172,0.4162
60348_60283,0.2058
77306_77310,0.2834
99972448_99971785,0.5511
78206_78208,0.202
999811_41009,0.3283
115082_102252,0.5651
10214_9226,0.6982
99972853_99973197,0.3847
122032_122072,0.2183
47342_47168,0.183
99970474_99970476,0.5063
53306_53308,0.1938
85208_85212,0.6658
176004_176006,0.1771
99972601_99973173,0.3073
139022_99973182,0.0947
158142_158406,0.1332
115122_115124,0.196
99971389_92144,0.125
74034_74036,0.3594
159282_159024,0.2094
148044_148046,0.1632
70152_70154,0.1998
99971210_10254,0.5548
64008_64010,0.3972
77376_77344,0.4132
99972665_99972853,0.7525
99972665_99972857,1.2568
144050_144052,0.1296
74054_99971917,1.0079
59052_59010,0.215
146228_146370,0.1702
184026_184027,0.2777
77194_77196,0.0905
66170_66400,0.1261
145026_145028,0.2895
99971894_99972245,0.154
117129_117131,0.255
85206_85208,0.1409
129016_99971819,0.1263
129960_129956,0.3396
145300_146352,0.486
37038_37040,0.2619
84901_84386,0.2891
88040_88042,0.1431
153054_153020,0.3215
99972875_99972877,0.5251
99972341_129064,0.1908
99972922_99972912,0.3381
54082_54046,0.3162
99436_99434,0.1352
60046_60047,0.2325
79084_79086,0.1571
159022_99971583,0.1696
107218_107216,0.2246
99971618_99969864,0.139
107350_107264,0.155
125132_125130,0.1656
99970486_99972267,0.36
133002_133004,0.1704
145076_145080,0.2193
123136_123138,0.0966
107294_107296,0.3549
140076_140078,0.2778
159302_149030,0.444
803_193,1.5395
99972491_99972492,0.3078
99194_99196,0.1601
137047_137044,0.181
35134_35048,0.2446
70238_70240,0.1199
159252_159254,0.1461
999978_77454,0.112
87090_87024,0.2429
138070_138068,0.3174
70020_70186,0.3373
54140_54142,0.3096
58024_58098,0.281
999852_99973333,0.2134
106292_106294,0.105
99969995_999764,0.7423
193026_193028,0.1637
122008_122009,0.0974
53076_53386,0.2195
61005_61204,0.2299
99972568_99972569,0.2945
79080_99971886,0.127
60016_60012,0.2582
125042_125043,0.2147
158288_158286,0.126
99970882_99970883,0.28
144142_144148,0.1266
69072_69074,0.1496
128078_128198,0.5576
93016_99972376,0.1986
99972587_99972590,0.9976
72248_72250,0.2242
84396_84508,0.1091
98178_98182,0.2609
99971911_99972178,0.178
62090_62092,0.1968
99973051_99973052,0.4731
9016_9012,0.2186
99973091_99973092,0.6022
102526_102316,0.1927
22020_22018,0.2149
99972113_176074,0.5273
70089_70288,0.2462
99971934_67035,0.202
158006_99972251,0.3069
59264_59266,0.2316
136124_147078,0.2871
100069_100170,0.2351
85360_85364,0.241
78388_78390,0.1715
86122_86584,0.2233
99972514_99972515,0.3576
95090_95092,0.2085
95063_99970104,0.068
99973234_99973233,0.2483
113031_99050,0.143
122106_122108,0.1366
176186_176184,0.2496
106218_106220,0.1322
10274_99971289,0.4636
99972130_999877,0.2424
159124_159126,0.129
37016_37032,0.3773
47094_47096,0.229
97055_97068,0.0484
120074_120076,0.1535
99971169_99970789,0.2577
77058_66194,0.3209
99970107_95100,0.6381
59318_59320,0.169
102150_115194,0.7191
124086_138090,0.1234
85158_85136,0.3602
88066_88093,0.3906
153100_153116,0.2103
130064_99972638,0.3958
99971258_99970977,0.093
147006_147008,0.1751
115128_115106,0.165
66344_66346,0.1659
99971337_99971338,0.4282
99973408_60106,0.355
127020_127021,0.298
69332_69334,0.2029
71120_71122,0.3061
999847_999843,0.3757
100063_100061,0.1338
99972600_99972588,0.7497
99971057_99971262,0.705
85274_85276,0.148
74028_74030,0.2173
94002_94004,0.1121
129222_129180,0.1417
145046_145110,0.1157
61052_61054,0.1623
106438_104436,0.2238
99971926_82118,0.2366
102044_102042,0.1361
10232_10188,0.3067
99970108_99970109,0.2282
999778_59244,0.4042
73068_73170,0.7632
70188_70190,0.1205
32072_35010,0.1676
165016_165017,0.2891
122036_122040,0.2477
103108_99972103,0.039
999822_999879,0.1825
176112_184086,0.3931
69290_69300,0.1105
79013_99971374,0.2191
55084_55168,0.15
146332_99972887,0.1827
99973161_99972702,0.5497
153031_153037,0.393
99971578_99971733,0.223
83166_83162,0.0997
146080_146416,0.0781
125028_125030,0.2095
99972056_99972268,0.7691
129202_129164,0.2527
60050_60052,0.2184
39058_39102,0.2765
93072_93045,0.065
999876_999874,0.7431
99972672_99972676,0.394
99971259_99970976,0.1123
99300_99901,0.4038
41166_37064,0.1361
99969885_60061,0.2777
116054_99971904,0.3721
88100_88096,0.2779
99972597_99973236,0.6578
99971808_99971807,0.1959
121167_121169,0.1568
48048_48164,0.2109
49002_999823,0.1799
99973403_94019,0.102
99972869_99972538,0.7919
87092_73118,0.1033
130191_130193,0.1767
104058_104054,0.2268
71364_71354,0.3868
56042_56040,0.1024
107058_107056,0.188
122120_122122,0.162
153038_153128,0.2909
184088_99972359,0.3564
99973009_99973010,0.3149
99972037_66270,0.6584
99972691_99973229,0.2735
128052_128054,0.1212
106124_106126,0.2044
37011_37019,0.4857
80128_79013,0.212
99972675_99971334,0.3381
113040_113042,0.1022
146334_146406,0.1568
48134_48004,0.3126
53025_53024,0.1165
99248_99260,0.218
83140_83192,0.1362
99971775_107106,0.2941
99972954_40506,0.7144
99973056_99973057,0.5614
67161_57002,0.7976
99969960_144036,0.4162
10010_99972450,0.2577
73056_73134,0.1952
153048_153040,0.1605
148060_148062,0.035
49010_49006,0.3827
99971587_99972234,0.3048
78530_78102,0.1246
58018_58019,0.176
60290_60126,0.1591
108016_108010,0.1302
99230_98505,0.4261
193006_184002,0.3067
130148_154030,0.1944
99970426_99972196,0.4142
55118_55158,0.0684
99972760_99972869,0.32
99971805_99971803,0.2405
78196_99136,0.1825
99971000_68300,0.11
15015_15022,0.2032
176108_99972127,0.3541
99971273_999849,0.2571
21964_21966,0.6159
129254_129256,0.2191
99971807_99972173,0.1814
66346_66410,0.2007
136042_99972370,0.1461
107338_99971774,0.2231
166206_166042,0.7092
128060_128050,0.1093
44046_44045,0.2878
158194_158196,0.099
32046_32045,0.2297
39194_39124,0.403
110028_111012,0.1896
99972487_99972693,0.3948
79064_79066,0.156
106330_106468,0.4717
121018_121020,0.2104
99972108_46201,0.1517
114158_114082,0.0931
66568_66003,0.344
74104_121019,0.275
125138_125136,0.153
40928_40156,0.2828
88002_88004,0.2061
99971030_105218,0.234
97142_97144,0.1029
99970375_42068,0.5232
149053_149055,0.4131
153021_999852,0.3288
99973006_99973008,0.2171
158286_146322,0.2611
99973010_99973011,0.6909
110030_110016,0.3659
183004_183006,0.2061
85202_106240,0.173
150069_159272,0.4744
144058_144060,0.1305
99144_99142,0.1251
104062_104058,0.1396
83156_83158,0.1681
71160_71156,0.2924
136132_136116,0.2161
121108_99971138,0.1791
70212_70358,0.2001
50021_50024,0.2416
122352_122350,0.101
151054_151056,0.1671
107296_107298,0.102
105476_117042,0.312
36088_36005,0.301
103162_103196,0.134
770912_78524,0.1703
39052_39048,0.5303
85406_85410,0.335
154026_154010,0.3961
146322_99971168,0.1955
150032_150034,0.4399
151176_99972185,0.3028
67160_67161,0.1254
158406_158416,0.0927
80126_80128,0.175
166058_166060,0.1955
99972676_99972677,0.3369
99971530_99973330,0.2614
56018_56017,0.2909
99971332_99971377,0.3142
88076_88066,0.161
71010_71012,0.1188
154004_153048,0.4001
47144_47146,0.0987
99973096_99973097,0.2058
166042_99973318,0.484
103094_104078,0.273
60047_60362,0.0742
136052_136054,0.113
99970795_42016,0.4054
159084_99972000,0.1428
47340_47228,0.3481
145330_145060,0.1354
80388_80402,0.12
73064_73066,0.3008
131084_131086,0.3298
98172_98170,0.1943
99973342_129006,0.1639
999841_159308,0.3821
77182_77492,0.1552
99970779_102178,0.4448
166066_166068,0.145
113053_113054,0.129
148024_148054,0.201
99066_99068,0.1499
69058_69060,0.2373
99972377_999846,0.4
99970782_93172,0.3074
93178_93200,0.304
182016_182018,0.042
53518_53326,0.3782
69166_69168,0.0948
52172_52174,0.2035
99972929_99972689,0.2464
37044_37046,0.1384
99971990_77546,0.2874
99972131_99972130,0.254
99972947_39117,0.1653
99970804_101016,0.3032
69228_69230,0.2316
99973287_99973288,0.3228
99970184_99971604,0.2184
77166_77488,0.1651
115192_99971395,0.164
122369_122250,0.2165
99972136_99973354,0.4971
128151_128062,0.2861
88056_88058,0.147
99090_99092,0.2111
15074_21097,0.5259
78110_78112,0.2824
105523_106478,0.3402
144042_144100,0.1376
131138_131150,0.1452
48034_48150,0.198
88006_88008,0.1459
106072_106074,0.083
107220_107218,0.04
176224_176070,0.109
54180_54182,0.1127
97160_97161,0.4065
99973315_85145,0.3942
69232_69234,0.1578
158306_158309,0.2102
62026_62028,0.2296
53172_53174,0.1733
130052_130054,0.1469
99970853_125038,0.118
136006_136004,0.1442
48127_99972133,0.2273
99972778_99973286,0.4095
79172_79900,0.1302
99971973_99973335,0.0757
121118_121116,0.224
165081_165056,0.2717
86030_86028,0.2161
84382_84388,0.1644
99972548_99972553,0.4655
99972890_99972891,0.5742
86054_86056,0.2508
134003_133144,0.31
176064_176066,0.2271
122306_122396,0.091
99972584_99972560,1.3615
59070_59074,0.1593
20012_20050,0.2152
99973199_99972591,0.6061
158372_158378,0.3272
69326_69328,0.1493
183018_183020,0.2677
99973394_66128,0.2244
146215_146282,0.1199
99972985_99972986,0.3782
99901_79106,0.3856
73032_73034,0.1124
122194_122196,0.1539
59077_59078,0.1342
99970436_99970437,0.3757
99970340_99970342,0.2019
122034_122036,0.2699
54160_54162,0.127
83100_83132,0.2611
53188_53058,0.4169
21954_99970710,0.2376
138012_138014,0.3043
66078_66076,0.1097
105462_105466,0.318
82186_82086,0.3104
68278_80060,0.2886
146088_146090,0.1676
105018_128002,0.3459
59012_59014,0.1885
71132_71212,0.4888
61023_61224,0.2053
78298_78300,0.1139
99972117_134016,0.256
105238_105240,0.089
99970422_99970424,0.6811
99972935_99972937,0.304
99973223_158110,0.5643
166071_166074,0.2594
175018_175014,0.6137
10254_10232,0.1877
101133_101466,0.284
108114_108112,0.384
151130_150028,0.7213
99971590_99971635,0.5426
158102_158392,0.2621
122354_122352,0.086
69230_69232,0.2386
98142_98144,0.2642
152028_99973127,0.4589
99973109_99973110,0.3244
99971849_99971839,0.399
77196_77198,0.1338
99306_99310,0.1196
99971006_149070,0.0866
99972608_99972609,0.2981
117112_117114,0.146
122003_122380,0.1565
78164_78166,0.1451
99970464_99972353,0.253
99972022_81162,0.208
98158_98240,0.5179
107138_107140,0.23
40086_99972269,0.1633
99972370_123124,0.193
72242_72244,0.1399
122338_122336,0.1196
106190_106192,0.0871
99970400_99970398,0.2724
128134_128136,0.2505
130198_130090,0.3134
47220_54094,0.2874
166086_166092,0.2109
40160_99972332,0.2186
67126_67128,0.1646
99970349_99970347,0.5028
113150_113152,0.2101
99536_98034,0.2755
99971739_54184,0.7419
53002_53054,0.2189
71092_71094,0.1141
99971394_68342,0.415
98180_98138,0.4535
72016_72018,0.185
140060_140062,0.106
42120_42182,0.2483
32044_32042,0.157
87036_87038,0.1589
71186_70218,0.2735
130090_130092,0.4629
126016_126040,0.1472
99971779_99971780,0.2372
41128_51058,0.2412
99970379_99970429,1.8942
72070_72286,0.2089
130189_130191,0.1829
100066_100063,0.108
108047_108168,0.3094
101092_101098,0.1519
99973159_99970898,0.3477
73068_73070,0.333
80296_80298,0.1752
98155_98156,0.2583
99972850_99972695,0.3888
99971811_99973021,0.1625
99971072_99971069,0.2516
62046_62050,0.1882
99972794_99972910,1.9921
54116_54118,0.1418
53900_53176,0.4848
53900_53175,0.4984
66016_66018,0.5138
69164_69166,0.3657
77302_77026,0.1671
66164_66166,0.106
121169_121156,0.2064
151110_151030,0.0803
63066_63068,0.2609
103168_103174,0.3731
107108_107106,0.1
85058_85056,0.1457
105182_105208,0.211
130060_130062,0.2067
99972466_99972252,0.4912
39046_39044,0.2051
81150_81149,0.1593
99970901_99973075,0.5123
105572_105456,0.308
93010_93024,0.075
99970997_42015,0.6876
99970131_99971102,0.0835
99970880_138088,0.1632
78500_99220,0.1247
99970563_999863,0.2834
137026_99970728,0.2745
78173_78164,0.1825
99971560_151016,0.127
99972706_99972707,0.7933
101166_101160,0.1421
47136_47330,0.2452
105152_105004,0.2359
15007_15008,0.3722
176184_176182,0.2433
62220_62088,0.256
80302_80304,0.1135
99970539_99972427,0.2221
128182_128042,0.2459
55070_55066,0.2402
99971375_183970,0.176
99972383_149060,0.0934
78016_78018,0.077
42066_42144,0.2066
183970_183006,0.262
99972635_99971735,0.1951
60284_60249,0.231
98072_98074,0.233
136004_136002,0.2232
106210_106214,0.1562
147074_99972366,0.141
54092_54242,0.1675
39067_39062,0.1121
75006_99972032,0.4492
72206_72204,0.1484
99972797_99972795,1.4936
70074_70076,0.2327
99973042_99973043,0.2996
66299_66196,0.3507
42011_42013,0.1588
99970352_99973217,0.1703
99972246_99971894,0.2321
128006_129960,0.3677
99378_99380,0.1432
42020_42026,0.2964
99298_99300,0.1741
106448_107118,0.1251
99136_99134,0.085
46048_46050,0.1531
46020_46022,0.3366
158084_999840,0.094
99973280_98202,0.2985
74022_74123,0.3515
107074_107070,0.1594
140154_151088,0.3717
78184_78206,0.1544
100036_100035,0.128
140108_127046,0.3801
101044_101042,0.2241
99970050_99970046,0.2178
105432_105476,0.1492
32022_32025,0.4212
41168_41150,0.1379
66062_99971934,0.7856
117131_95012,0.3563
101016_101018,0.116
99972480_99972481,0.4831
62074_62072,0.3571
95021_104012,0.157
78176_78174,0.1645
10172_10174,0.4166
167004_167006,0.285
102108_102109,0.1373
99973034_99973035,0.557
103188_102316,0.1169
99972377_99970377,0.6874
145018_145022,0.3584
99972537_99972538,1.0586
99972253_88034,0.2366
32050_32082,0.3417
103900_99972104,0.3002
70089_70090,0.2212
21104_21102,0.1505
111020_111030,0.1528
158376_158374,0.176
77466_99973202,0.1392
99972130_99970539,1.3543
92158_99972354,0.3978
121144_121142,0.1649
99972780_99973209,1.1324
99973183_139008,0.167
136036_136038,0.102
99973036_99973037,0.2257
140104_140106,0.529
52028_52030,0.1747
115034_115036,0.1401
27012_26072,0.0863
129952_99971734,0.1995
132026_132020,0.3142
20020_20054,0.293
99971397_99970136,0.2833
131172_999742,0.1594
159046_159048,0.2001
20036_20038,0.24
166160_166158,0.0768
166090_166088,0.1272
78286_99206,0.1512
99971831_99971772,0.6152
117044_117002,0.132
77560_77484,0.1653
77362_77364,0.3679
124068_124070,0.2161
133083_133085,0.4121
99971304_99971305,0.6799
105172_105174,0.174
131130_132048,0.9117
99972198_99971964,0.2386
115046_115048,0.13
99972004_99970580,0.3036
144136_144138,0.1817
99971256_102210,0.3057
99973350_62074,0.3915
63040_63042,0.3267
121036_121040,0.4193
146332_99971169,0.3078
71030_71028,0.4428
77332_77376,0.0644
807_471,0.6338
128002_128004,0.1571
99971917_74056,0.8895
67050_67052,0.1582
98202_98200,0.1694
83048_99971962,0.06
999756_95212,0.1841
98510_98172,0.1369
176198_176060,0.329
60129_61017,0.1335
131024_131026,0.22
115214_115128,0.1171
99971613_129294,0.6433
99971008_99971007,0.0655
97174_97176,0.1527
122112_122114,0.1998
63010_63012,0.2409
104050_104014,0.182
77130_77478,0.488
138066_138064,0.3221
114076_114077,0.1291
98134_98136,0.1452
99972725_99972726,0.3778
146900_146332,0.2969
146514_146240,0.289
107054_107334,0.1579
176078_176080,0.132
98003_98244,0.3258
48094_48092,0.2526
102030_102028,0.1725
66142_66293,0.3094
72062_72064,0.1251
73008_73010,0.2565
137054_137056,0.217
80402_80406,0.2681
121026_121030,0.2824
37009_37013,0.7426
99970728_138088,0.1618
53336_53079,0.0938
94146_99971926,0.1541
99971686_99972166,0.5634
106096_106098,0.2846
99972112_193022,0.167
113122_114158,0.149
99972729_99972730,0.378
83198_83141,0.1668
48128_48192,0.1482
53320_99969951,0.3092
108050_107150,0.3795
99971854_82192,0.2322
98040_98076,0.1816
103900_103200,0.006
99971003_102254,0.3724
145104_145106,0.117
99970078_99970093,0.7233
36050_36040,0.2583
58122_58124,0.2619
102228_103138,0.1002
99971949_99971950,0.2616
92072_92070,0.1
66224_66398,0.1907
122294_122296,0.122
197140_200010,0.6087
85456_85902,0.2267
86066_86070,0.1279
693_219,2.5865
37102_41126,0.1433
99973191_99971540,0.4465
120112_99971344,0.1909
68900_68056,0.2112
138054_138072,0.1825
105228_105230,0.157
87026_87028,0.2372
164014_99970382,0.1652
99973400_773140,0.2084
99972721_99972722,0.3095
86028_86580,0.1528
41004_41006,0.3863
99972167_99971687,0.4565
108070_108068,0.117
99972103_99972105,0.3131
150026_99972106,0.3979
59374_59334,0.1066
99972262_99971517,0.1062
99972799_99972800,0.4014
138034_138036,0.1679
130044_107022,0.206
72086_72088,0.1902
147064_147068,0.283
106178_106308,0.1251
99972574_99972575,0.1932
47346_47162,0.1582
146104_166142,0.2758
171010_171008,0.281
54080_54082,0.2282
71366_71314,0.1538
125124_125122,0.1091
99178_99166,0.1395
106068_106070,0.112
166196_146318,0.3395
87044_87046,0.432
99971822_99971919,0.2845
78404_78406,0.1527
10234_10238,0.4654
85468_85366,0.161
123150_123152,0.105
48075_48124,0.1862
99973076_99973077,1.0306
99971991_77544,0.2452
99972843_99973186,0.2804
82114_82112,0.1485
42002_99970375,1.9323
15070_15082,0.3746
99970485_99970483,0.2984
60064_60062,0.2191
129094_129096,0.2932
86052_85460,0.4887
74088_121011,0.5403
78348_77260,0.2537
147062_147064,0.1041
82181_82118,0.2656
99971335_99971336,0.4095
106064_106066,0.3801
52220_52500,0.8266
21058_21052,0.4279
60088_60086,0.1918
99971968_99971969,0.2271
99970441_99970442,0.3451
113144_123126,0.3223
99970081_99970082,0.6156
94035_94146,0.1202
117028_99970793,0.106
99970358_99970360,0.4919
81138_82007,0.1343
36004_36003,0.2927
121138_121136,0.218
99973040_99973041,0.4592
86116_86114,0.2613
154010_154032,0.3051
99481_99106,0.1044
1000004_153008,0.1428
66022_66024,0.3029
99971939_99971940,0.14
176088_176090,0.7562
99973016_99973017,0.3934
85458_86224,0.4637
191004_191005,0.3443
42021_42023,0.4597
99972505_99972512,0.3291
73120_74129,0.4032
21070_99972244,0.1256
124084_99970851,0.223
98250_99536,0.2371
99970463_99970550,0.2071
97082_97084,0.141
99970083_99970084,0.71
106452_106268,0.129
99971900_99971896,0.3896
139018_139020,0.2653
99970968_99971057,0.0714
99973156_99972767,0.5552
22044_22058,0.1629
79286_79288,0.1582
149002_149004,0.092
83056_84142,0.3952
183030_183028,0.5918
108002_108004,0.2874
35040_32002,0.2809
99972872_99972875,0.423
99970531_132064,0.1949
131002_131156,0.2078
191034_191036,0.3353
99971289_99971262,0.7366
68300_68302,0.4201
105164_105166,0.0851
131034_131036,0.1814
144144_145302,0.2713
99973374_77430,0.2122
35900_21951,11.98
182022_183030,0.1516
99973340_99973309,0.1351
15088_15074,0.2239
125235_138098,0.188
99972528_99972622,0.679
99973324_99973325,0.4023
115102_99970633,0.1421
115052_99971682,0.6958
47102_47104,0.3376
99972765_99972766,0.6624
117008_117007,0.118
77248_77250,0.2982
71170_99973328,0.0917
134088_134112,1.2547
99972780_166900,12.6234
115160_125002,0.1159
71082_71364,0.0874
166148_146106,0.2531
101165_101135,0.164
100061_100058,0.1555
78342_78344,0.1612
99971278_99971366,0.138
99970549_99970462,0.21
67032_67030,0.3239
121126_121124,0.2253
69030_69031,0.1684
120250_120100,0.286
60110_60102,0.1859
72224_72226,0.1624
69056_69058,0.0658
86562_86062,0.1074
99970807_115208,0.104
86038_86044,0.1381
99973179_99973071,1.0823
99972222_99972223,0.1442
99973181_99973009,0.3473
107100_107320,0.1841
68267_58112,0.3525
127064_128134,0.3264
103174_103170,0.0951
184005_99970234,0.3915
53126_53128,0.3532
99972989_99972990,0.3855
81045_99971893,0.1853
46240_46242,0.145
128056_105124,0.1775
100138_100134,0.1194
39150_39072,0.2762
47182_47180,0.1415
53142_53140,0.2305
27_28,2.2451
63044_63046,0.1836
146322_99972369,0.3394
49034_49036,0.275
175008_175010,0.2521
102558_102124,0.163
99973382_99973380,0.5271
120098_120096,0.2048
99971820_99971821,0.1547
121100_121102,0.2401
99970791_52090,0.2876
107162_107164,0.2451
136054_136056,0.094
139012_99971586,0.1303
130180_130182,0.2341
99972517_99972706,0.4372
130136_130226,0.2304
107330_107238,0.1132
68076_68078,0.1969
86900_86024,1.1624
99973014_99973015,0.2252
72044_72046,0.0985
139008_139010,0.1649
999994_999919,0.3241
14002_14004,0.4254
63004_63006,0.5013
108134_108136,0.249
99970990_99970779,0.3774
99972711_99972712,0.278
71352_71086,0.1585
99193_99194,0.18
48110_48104,0.1937
61222_61023,0.6156
146116_146118,0.2048
131078_131079,0.0893
146504_146348,0.186
108060_108058,0.1163
125100_125230,0.107
82058_82125,0.29
146264_146262,0.1266
99973217_99970354,0.1597
99973115_99973116,0.2196
85372_85088,0.144
99031_99426,0.2118
64120_64110,0.3577
78090_78092,0.1716
72250_72252,0.1237
77172_77176,0.2183
77188_77190,0.093
68079_68080,0.1154
99971341_47064,0.5907
71084_71082,0.079
97046_97056,0.6923
73140_73142,0.2258
85370_85372,0.078
115166_115190,0.1481
99972540_99972541,0.232
122092_122096,0.2342
78234_78240,0.2548
105466_105470,0.1861
79282_79284,0.1173
107270_107272,0.215
99971375_183950,0.4542
99972821_99972822,0.7799
99376_99378,0.0856
99972660_99972694,0.2609
123022_123016,0.2569
97260_97262,0.1011
158352_137032,0.178
813_999549,0.0262
183038_999949,1.201
166092_166094,0.3741
52082_52084,0.2733
107090_107086,0.1203
106186_106190,0.4102
82046_82048,0.2082
117042_117118,0.192
69204_69056,0.3345
98140_98900,0.6227
99972804_99972805,0.7618
120090_144050,0.1625
97214_97118,0.2941
176060_176062,0.237
108022_108032,0.3791
60268_60270,0.4752
60164_60166,0.2083
35016_35018,0.4926
99971135_140184,0.159
184052_184062,0.3888
124052_124050,0.305
99972386_47290,0.2441
66303_66305,0.2
86146_86178,0.1985
73074_73076,0.34
106004_106006,0.116
128132_105094,0.3694
86114_86112,0.1522
72108_72110,0.3891
99971344_120110,0.1397
70308_70354,0.279
92136_99971389,0.098
99970454_99970456,0.6464
99971092_99971093,0.237
99972212_99970401,0.2485
70246_70248,0.2279
40260_40050,0.22
59254_59260,0.3268
74058_74134,0.1248
99971315_99971332,0.4875
39070_39150,0.2968
130122_130090,0.2074
176042_176214,0.1934
54148_54150,0.202
121162_121160,0.155
99970808_114170,0.174
99971269_176232,0.15
99389_99392,0.1784
99970487_99970485,0.3236
193030_193010,0.1919
127033_127030,0.1177
86194_86196,0.0913
73076_87078,0.3676
46156_46900,0.6691
59320_59322,0.3407
99971203_72056,0.3461
99973043_99973102,0.6207
99973219_99971924,0.3315
99970415_99970413,0.2954
108004_108006,0.2483
55082_55172,0.1761
127034_127038,0.2612
60106_61014,0.2576
99969875_99972189,0.4461
99070_99059,0.1777
128112_128114,0.2991
133148_134102,0.2495
106130_106132,0.3124
99972372_72208,0.1975
99972549_99972551,0.9148
71196_71206,0.2226
99972577_99972578,0.333
113120_113122,0.225
99972915_99972916,0.3751
99970428_99970380,1.9236
193018_193020,0.1277
99973373_99972170,0.5268
145004_145334,0.214
52004_52008,0.6545
70181_70183,0.2922
120032_120034,0.1805
136056_136058,0.112
47210_47212,0.3115
72074_72070,0.2058
99972343_66150,1.4358
70044_999777,0.2069
102042_99972088,0.2227
101036_10134,0.1526
78102_78104,0.1429
99192_99101,0.1327
99971325_99971326,0.4
106070_106072,0.157
73026_72094,0.3727
72088_72090,0.2011
53034_53038,0.2513
99973142_99972577,0.3726
16016_16030,0.2991
131158_131014,0.3892
99970617_97272,0.189
85276_85280,0.3924
99512_78074,0.1131
166122_99971147,0.4114
133022_99970526,0.2863
57004_57008,0.2241
184066_184094,0.1925
78114_78116,0.2341
159042_159044,0.1897
133006_99970505,0.2714
99972561_99972562,0.2078
37052_37054,0.1787
131062_131158,0.7224
99972312_193008,0.4948
99973369_99973370,0.3228
9025_9020,0.2115
73024_72092,0.3114
99538_99972124,0.2831
68257_68260,0.1875
147037_147036,0.2101
60072_60348,0.2701
770830_77520,0.0934
97144_97146,0.1077
85090_85092,0.102
121017_74104,0.16
104068_104076,0.289
129008_129010,0.2652
77278_77282,0.2472
140086_140084,0.5356
144088_144090,0.1413
99972442_103083,2.3626
79382_99971869,0.2071
37078_37030,0.3123
120116_120122,0.1947
107346_86213,0.3349
99970581_99972005,0.256
106222_106224,0.1962
120104_120102,0.2053
111_999549,4.7287
99972964_99971613,0.2305
99970153_99970151,0.2514
85381_85383,0.1246
99973114_99973115,0.2269
63028_64004,0.3948
99972892_99972977,0.234
120086_120088,0.1297
999903_999904,0.037
191082_190016,0.3126
62002_62004,0.1721
159384_159022,0.0916
95012_95901,0.3691
53140_99973334,0.145
132114_132056,0.1811
86202_86204,0.2952
99972628_99970368,0.4965
138016_138100,0.1444
108166_108090,0.1851
122074_122076,0.2369
146406_146308,0.1729
184048_99971319,0.3246
99972556_99972557,0.4109
99973393_66402,0.441
107128_107328,0.164
120246_99972350,0.7018
85410_85411,0.2011
107134_107136,0.1212
176070_176072,0.526
99970848_99970849,0.167
99972785_99972790,0.387
99971360_99971258,0.223
144024_144016,0.193
61038_60130,0.2981
999796_999797,0.183
99970511_99970512,0.14
99973048_99973049,0.9126
99973271_99972453,0.4662
99972977_99972893,0.2231
99972766_99973156,0.7688
77524_99971850,0.1938
123138_123140,0.1051
60130_60132,0.1989
99972585_99973198,0.5727
85056_85054,0.1687
78062_78497,0.2798
78010_78008,0.1321
105096_105098,0.1677
99971144_41162,0.2811
69070_69072,0.2234
152010_152006,0.4818
86064_86560,0.192
131079_131138,0.267
86024_86026,0.268
103130_1000027,0.3454
68050_68900,0.3631
37100_37060,0.3253
165046_176002,0.2776
61224_54070,0.3532
99973057_99973058,0.748
102060_102062,0.2852
99972566_99972549,0.6449
42002_47112,0.3806
67064_67066,0.13
150062_150064,0.326
54154_54156,0.264
99268_99971945,0.3679
106466_106326,0.3835
54110_54112,0.2568
