stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,geometry,GridID,nodeid_before,x,y,nodeid,p_n_dist
224,908709,KENSINGTON STATION,3350 KENSINGTON RD & UNNAMED ST,33.772764,-84.252151,,,,,,0,POINT (2270606.915032862 1372387.018574005),268,991015,2270606.915,1372387.019,255252,0.090408527
232,908634,KENSINGTON STATION,3350 KENSINGTON RD & E PONCE DE LEON AVE,33.772647,-84.251607,,,,,,0,POINT (2270772.187143312 1372344.309328532),268,990015,2270772.187,1372344.309,500061,0.068339744
243,908717,LENOX STATION,955 E PACES FERRY RD NE & LENOX RD NE,33.845307,-84.358387,,,,,,0,POINT (2238373.730403427 1398826.721176764),249,255015,2238373.73,1398826.721,255015,0.00356824
244,908718,BUCKHEAD STATION,3360 PEACHTREE RD NE & GA-400-TOLL,33.84781,-84.367629,,,,,,0,POINT (2235569.474618892 1399742.851433189),249,990031,2235569.475,1399742.851,57875,0.018087647
249,908639,BUCKHEAD STATION,3360 PEACHTREE RD NE & GA-400-TOLL,33.847944,-84.367716,,,,,,0,POINT (2235543.155942116 1399791.662072539),249,990031,2235543.156,1399791.662,57878,0.015819129
250,906827,LENOX STATION,955 E PACES FERRY RD NE & LENOX RD NE,33.845388,-84.358235,,,,,,0,POINT (2238419.93517838 1398856.108924086),249,990036,2238419.935,1398856.109,255015,0.012909952
269,907960,BANKHEAD STATION,1335 DONALD LEE HOLLOWELL PKY NW & UNNAMED ST,33.772159,-84.428873,,,,,,0,POINT (2216905.1381648 1372257.45569152),228,990001,2216905.138,1372257.456,48395,0.018543136
270,907961,BANKHEAD STATION,1335 DONALD LEE HOLLOWELL PKY NW & UNNAMED ST,33.772436,-84.428906,,,,,,0,POINT (2216895.366677672 1372358.273046515),228,993001,2216895.367,1372358.273,48395,0.037399373
280,907913,NORTH AVENUE STATION,713 W PEACHTREE ST NW & NORTH AVE NE,33.771472,-84.387258,,,,,,0,POINT (2229550.426554948 1371977.859901574),248,990027,2229550.427,1371977.86,51861,0.018503034
281,907914,NORTH AVENUE STATION,713 W PEACHTREE ST NW & UNNAMED ST,33.771741,-84.387204,,,,,,0,POINT (2229567.045443169 1372075.705546889),248,990027,2229567.045,1372075.706,285796,0.010261413
375,908862,DORAVILLE STATION,6000 NEW PEACHTREE RD & PARK AVE,33.902411,-84.281166,,,,,,0,POINT (2261842.518996304 1419570.503141901),270,990039,2261842.519,1419570.503,90005,0.061493208
384,908845,DORAVILLE STATION,6000 NEW PEACHTREE RD & LENOX RD NE,33.902787,-84.28061,,,,,,0,POINT (2262011.369580857 1419707.13292312),270,990039,2262011.37,1419707.133,90005,0.063671484
394,908872,MEDICAL CENTER STATION,5711 PEACHTREE DUNWOODY RD NE & HOLLIS COBB CIR,33.910757,-84.35189,,,,,,0,POINT (2240389.250926544 1422638.724321838),250,990032,2240389.251,1422638.724,60572,0.056337938
399,908885,MEDICAL CENTER STATION,5711 PEACHTREE DUNWOODY RD & HOLLIS COBB CIR,33.910739,-84.351759,,,,,,0,POINT (2240428.98268109 1422632.10288278),250,990032,2240428.983,1422632.103,60572,0.062131411
429,908911,CIVIC CENTER STATION,435 W PEACHTREE ST NW & I-75,33.766111,-84.387504,,,,,,0,POINT (2229471.493149556 1370027.319159617),248,990026,2229471.493,1370027.319,233532,0.018460162
430,908912,CIVIC CENTER STATION,435 W PEACHTREE ST NW & I-75,33.766236,-84.387504,,,,,,0,POINT (2229471.590587723 1370072.80274456),248,990026,2229471.591,1370072.803,51097,0.010222977
470,908958,VINE CITY STATION,502 RHODES ST NW & UNNAMED ST,33.756613,-84.403902,,,,,,0,POINT (2224480.224316549 1366582.367564256),228,48276,2224480.224,1366582.368,48276,0.068201187
471,908959,VINE CITY STATION,502 RHODES ST NW & ELECTRIC AVE NW,33.756613,-84.404021,,,,,,0,POINT (2224444.05647958 1366582.450799005),228,48276,2224444.056,1366582.451,48275,0.074782823
485,908963,ASHBY STATION,65 JOSEPH E LOWERY BLVD NW & UNNAMED ST,33.756478,-84.41723,,,,,,0,POINT (2220429.306448006 1366542.827087873),228,990004,2220429.306,1366542.827,48047,0.018295032
486,908964,ASHBY STATION,65 JOSEPH E LOWERY BLVD NW & UNNAMED ST,33.756477,-84.417328,,,,,,0,POINT (2220399.520227893 1366542.53561263),228,990004,2220399.52,1366542.536,48047,0.013975121
693,908301,OAKLAND CITY STATION,1400 LEE ST SW & MAIN ST,33.7173,-84.42503,,,,,,0,POINT (2218022.935088185 1352293.082957389),228,990021,2218022.935,1352293.083,233104,0.025510716
694,908302,OAKLAND CITY STATION,1400 LEE ST SW & UNNAMED ST,33.716978,-84.425138,,,,,,0,POINT (2217989.802103493 1352176.000266792),228,990021,2217989.802,1352176,202741,0.022970069
730,908480,NORTH SPRINGS STATION,7010 PEACHTREE DUNWOODY RD & PERIMETER CTR W,33.944377,-84.357253,,,,,,0,POINT (2238784.904795622 1434875.277828527),251,990035,2238784.905,1434875.278,281096,0.248384192
796,908435,DOME-GWCC-PHILIPS ARENA-CNN STATION,100 CENTENNIAL OLYMPIC PARK DR NW & PHILIPS DR NW,33.756179,-84.397215,,,,,,0,POINT (2226512.260326728 1366419.838610063),248,990006,2226512.26,1366419.839,50832,0.017264007
797,908981,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.753837,-84.391397,,,,,,0,POINT (2228278.684435021 1365563.755818933),248,990024,2228278.684,1365563.756,281277,0.043892966
798,908436,KING MEMORIAL STATION,377 DECATUR ST SE & UNNAMED ST,33.749951,-84.375675,,,,,,0,POINT (2233054.37954343 1364139.716028729),248,993009,2233054.38,1364139.716,300648,0.053177844
799,908437,INMAN PARK-REYNOLDSTOWN STATION,1055 DEKALB AVE NE & UNNAMED ST,33.757451,-84.352762,,,,,,0,POINT (2240023.816290798 1366855.382315815),248,990010,2240023.816,1366855.382,286241,0.014513201
800,908438,AVONDALE STATION,915 E PONCE DE LEON AVE & E PONCE DE LEON AVE,33.775554,-84.281487,,,,,,0,POINT (2261693.610937297 1373410.873616851),268,990014,2261693.611,1373410.874,81440,0.04137844
801,908515,INDIAN CREEK STATION,3901 DURHAM PARK RD & UNNAMED ST,33.769856,-84.228906,,,,,,0,POINT (2277669.815346176 1371323.828418341),288,990016,2277669.815,1371323.828,500062,0.064156643
802,908516,INDIAN CREEK STATION,3901 DURHAM PARK RD & UNNAMED ST,33.769893,-84.229874,,,,,,0,POINT (2277375.664154042 1371337.470532426),288,990016,2277375.664,1371337.471,84726,0.038298666
803,908691,AVONDALE STATION,915 E PONCE DE LEON AVE & E PONCE DE LEON AVE,33.775214,-84.282466,,,,,,0,POINT (2261395.989292435 1373287.491177044),268,990014,2261395.989,1373287.491,280581,0.044510839
804,908692,INMAN PARK-REYNOLDSTOWN STATION,1055 DEKALB AVE NE & HURT ST NE,33.757227,-84.353066,,,,,,0,POINT (2239931.274815008 1366774.042807929),248,990010,2239931.275,1366774.043,286241,0.027011127
805,908693,KING MEMORIAL STATION,377 DECATUR ST SE & UNNAMED ST,33.749853,-84.37599,,,,,,0,POINT (2232958.561439542 1364104.251192982),248,993009,2232958.561,1364104.251,300648,0.039747523
806,908990,FIVE POINTS STATION,30 ALABAMA ST SW & BROAD ST SW,33.754123,-84.391876,,,,,,0,POINT (2228133.323928757 1365668.139690152),248,990024,2228133.324,1365668.14,340429,0.023950818
807,908694,DOME-GWCC-PHILIPS ARENA-CNN STATION,100 CENTENNIAL OLYMPIC PARK DR NW & PHILIPS DR NW,33.756187,-84.397291,,,,,,0,POINT (2226489.167938659 1366422.801210693),248,990006,2226489.168,1366422.801,50832,0.016393427
808,908695,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640831,-84.446198,,,,,,0,POINT (2211511.095655326 1324485.524496059),226,990017,2211511.096,1324485.524,233097,0.068499426
809,908599,COLLEGE PARK STATION,3800 E MAIN ST & UNNAMED ST,33.650577,-84.448656,,,,,,0,POINT (2210772.698572483 1328033.756687033),227,990018,2210772.699,1328033.757,43953,0.046263676
810,908600,GARNETT STATION,225 PEACHTREE ST SW & GARNETT ST SW,33.748938,-84.395545,,,,,,0,POINT (2227013.980392166 1363783.939997584),248,990023,2227013.98,1363783.94,50570,0.044496843
811,908986,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.754052,-84.391452,,,,,,0,POINT (2228262.138209792 1365642.023873968),248,990024,2228262.138,1365642.024,285813,0.047646907
812,908601,PEACHTREE CENTER STATION,216 PEACHTREE ST NE & ELLIS ST NW,33.758189,-84.387596,,,,,,0,POINT (2229437.357395855 1367144.813260048),248,990025,2229437.357,1367144.813,50995,0.014798265
813,908602,LINDBERGH POCKET,LINDBERGH DR NE & GARSON DR NE,33.820655,-84.370095,,,,,,0,POINT (2234801.241415825 1389863.364317894),249,990030,2234801.241,1389863.364,57615,0.030097336
814,908603,CHAMBLEE STATION,5200 NEW PEACHTREE RD & LENOX RD NE,33.887929,-84.305556,,,,,,0,POINT (2254435.098597702 1414309.983091476),270,990038,2254435.099,1414309.983,88000,0.059191761
815,908604,CHAMBLEE STATION,5200 NEW PEACHTREE RD & LENOX RD NE,33.887517,-84.306362,,,,,,0,POINT (2254190.30076082 1414160.398046201),270,990038,2254190.301,1414160.398,88000,0.047682034
816,908605,LINDBERGH POCKET,LINDBERGH DR NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.820565,-84.370117,,,,,,0,POINT (2234794.495182686 1389830.629066536),249,990030,2234794.495,1389830.629,57615,0.036022264
817,907842,PEACHTREE CENTER STATION,216 PEACHTREE ST NE & ELLIS ST NE,33.758082,-84.387595,,,,,,0,POINT (2229437.577897744 1367105.878710733),248,50994,2229437.578,1367105.879,50994,0.014374074
818,908976,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.753899,-84.39156,,,,,,0,POINT (2228229.19123743 1365586.423643071),248,990024,2228229.191,1365586.424,340429,0.047761653
819,907843,GARNETT STATION,225 PEACHTREE ST SW & GARNETT ST SW,33.748696,-84.395741,,,,,,0,POINT (2226954.208955393 1363696.016277452),248,990023,2226954.209,1363696.016,50570,0.054063984
820,907844,COLLEGE PARK STATION,3800 E MAIN ST & UNNAMED ST,33.650282,-84.448612,,,,,,0,POINT (2210785.795321226 1327926.380729421),227,990018,2210785.795,1327926.381,243648,0.056246538
821,906647,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640553,-84.446198,,,,,,0,POINT (2211510.822261217 1324384.370881965),226,990017,2211510.822,1324384.371,201638,0.051872359
822,907845,SANDY SPRINGS STATION,1101 MT VERNON HWY NE & UNNAMED ST,33.931671,-84.351069,,,,,,0,POINT (2240651.999027608 1430248.410553273),251,990034,2240651.999,1430248.411,243287,0.031308379
823,907846,SANDY SPRINGS STATION,1101 MT VERNON HWY NE & UNNAMED ST,33.931564,-84.35096,,,,,,0,POINT (2240684.990108998 1430209.416214835),251,990034,2240684.99,1430209.416,234922,0.027626171
824,907847,E-145 POCKET TRACK,DEKALB AVE NE & HAMPTON TER NE,33.760148,-84.325669,,,,,,0,POINT (2248259.650238245 1367822.953847692),248,990011,2248259.65,1367822.954,53340,0.012846094
825,908606,E-145 POCKET TRACK,DEKALB AVE NE & HAMPTON TER NE,33.760122,-84.326093,,,,,,0,POINT (2248130.774218373 1367813.692277138),248,990011,2248130.774,1367813.692,53340,0.035039038
1118,906837,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640294,-84.446197,,,,,,0,POINT (2211510.871895772 1324290.129825906),226,990017,2211510.872,1324290.13,201638,0.03483508
999544,907766,NORTH SPRINGS STATION,7010 PEACHTREE DUNWOODY RD & PERIMETER CTR W,33.94495,-84.357275,,,,,,0,POINT (2238778.620247304 1435083.792863573),251,990035,2238778.62,1435083.793,281096,0.287444157
999549,907775,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823501,-84.369313,,,,,,0,POINT (2235040.77739828 1390898.475060166),249,990030,2235040.777,1390898.475,57742,0.119006481
999690,907823,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823447,-84.369324,,,,,,0,POINT (2235037.398068482 1390878.832554832),249,990030,2235037.398,1390878.833,57742,0.119851869
