A,B,A_B
51013,233452,51013_233452
233451,233452,233451_233452
233454,48275,233454_48275
51033,233468,51033_233468
233468,51040,233468_51040
50988,233475,50988_233475
233475,50992,233475_50992
51029,233476,51029_233476
51023,233476,51023_233476
50857,233479,50857_233479
233479,50860,233479_50860
233480,50860,233480_50860
51023,233481,51023_233481
233481,51014,233481_51014
233492,51034,233492_51034
233493,48343,233493_48343
50920,233498,50920_233498
50921,233499,50921_233499
233499,50933,233499_50933
233500,50941,233500_50941
233501,50929,233501_50929
233502,50921,233502_50921
233503,51064,233503_51064
51060,233504,51060_233504
51075,233505,51075_233505
233505,233506,233505_233506
233506,51076,233506_51076
51076,233507,51076_233507
51058,233509,51058_233509
233509,51059,233509_51059
51140,233517,51140_233517
51117,233520,51117_233520
233520,51120,233520_51120
201419,233522,201419_233522
233522,51117,233522_51117
51099,233523,51099_233523
233524,51110,233524_51110
233532,51097,233532_51097
233606,172788,233606_172788
207851,51122,207851_51122
50598,233694,50598_233694
233694,50604,233694_50604
233807,50819,233807_50819
233808,50821,233808_50821
51068,233819,51068_233819
233819,233532,233819_233532
233821,50964,233821_50964
233842,198048,233842_198048
48276,233846,48276_233846
233846,233844,233846_233844
233860,233862,233860_233862
233862,233606,233862_233606
233868,233869,233868_233869
233869,233870,233869_233870
233870,233871,233870_233871
233871,198043,233871_198043
203943,233875,203943_233875
233875,233874,233875_233874
50821,233879,50821_233879
233874,233881,233874_233881
233881,233860,233881_233860
48343,233887,48343_233887
233894,50916,233894_50916
50899,233895,50899_233895
50913,233897,50913_233897
233897,50896,233897_50896
233895,233902,233895_233902
233903,233906,233903_233906
233906,233894,233906_233894
50833,233933,50833_233933
233935,50913,233935_50913
50895,233937,50895_233937
233937,233935,233937_233935
233939,233940,233939_233940
233940,227882,233940_227882
233966,50833,233966_50833
233967,233966,233967_233966
233968,50895,233968_50895
233973,51749,233973_51749
50938,233974,50938_233974
233974,50936,233974_50936
51117,233976,51117_233976
233976,207851,233976_207851
233983,51116,233983_51116
233989,233505,233989_233505
51065,233990,51065_233990
50980,234008,50980_234008
234008,50981,234008_50981
50969,234009,50969_234009
50972,234011,50972_234011
234009,234011,234009_234011
234029,50854,234029_50854
50853,234030,50853_234030
234030,234031,234030_234031
234031,234033,234031_234033
