A,B,A_B
233897,50913,233897_50913
50896,233897,50896_233897
233902,233895,233902_233895
233906,233903,233906_233903
233894,233906,233894_233906
233933,50833,233933_50833
50913,233935,50913_233935
233937,50895,233937_50895
233935,233937,233935_233937
233940,233939,233940_233939
227882,233940,227882_233940
233945,50860,233945_50860
199563,233945,199563_233945
233950,199563,233950_199563
50861,233950,50861_233950
50833,233966,50833_233966
233966,233967,233966_233967
50895,233968,50895_233968
51749,233973,51749_233973
233974,50938,233974_50938
50936,233974,50936_233974
233976,51117,233976_51117
207851,233976,207851_233976
51116,233983,51116_233983
233990,51065,233990_51065
234008,50980,234008_50980
50981,234008,50981_234008
234009,50969,234009_50969
234011,50972,234011_50972
234011,234009,234011_234009
50854,234029,50854_234029
234030,50853,234030_50853
234031,234030,234031_234030
234033,234031,234033_234031
50958,234033,50958_234033
234039,50996,234039_50996
51055,234039,51055_234039
234043,50965,234043_50965
51008,234043,51008_234043
234046,51065,234046_51065
233503,234046,233503_234046
234054,50832,234054_50832
234071,222926,234071_222926
50960,234071,50960_234071
50550,50541,50550_50541
234095,48349,234095_48349
51859,234124,51859_234124
232903,234125,232903_234125
234124,234125,234124_234125
51770,234423,51770_234423
256725,234423,256725_234423
50817,235911,50817_235911
253365,50909,253365_50909
50912,253365,50912_253365
254819,50821,254819_50821
50832,254819,50832_254819
235911,254964,235911_254964
48712,234095,48712_234095
233983,233507,233983_233507
256676,209115,256676_209115
257640,50568,257640_50568
50563,257640,50563_257640
261064,48284,261064_48284
48339,261064,48339_261064
261197,50569,261197_50569
261198,261197,261198_261197
50571,261198,50571_261198
261219,51056,261219_51056
232872,261219,232872_261219
234053,261243,234053_261243
500278,50817,500278_50817
261275,50833,261275_50833
233939,261275,233939_261275
261443,51120,261443_51120
213025,261443,213025_261443
269993,51024,269993_51024
51021,269993,51021_269993
270074,233517,270074_233517
270131,51859,270131_51859
270132,51107,270132_51107
233524,270132,233524_270132
270193,50929,270193_50929
233500,270193,233500_270193
270752,50960,270752_50960
50956,270752,50956_270752
270753,51007,270753_51007
50965,270753,50965_270753
270754,50965,270754_50965
270755,270754,270755_270754
50964,270755,50964_270755
270756,50964,270756_50964
270757,270756,270757_270756
50955,270757,50955_270757
234101,270844,234101_270844
273630,51021,273630_51021
51014,273630,51014_273630
51752,274223,51752_274223
51750,274223,51750_274223
274226,51765,274226_51765
274226,51764,274226_51764
275374,51861,275374_51861
275377,275374,275377_275374
276213,51765,276213_51765
276215,51765,276215_51765
276252,48283,276252_48283
233842,276252,233842_276252
276255,233933,276255_233933
233968,276255,233968_276255
276267,233902,276267_233902
50914,276267,50914_276267
276268,234054,276268_234054
261243,276268,261243_276268
276271,224859,276271_224859
50842,276271,50842_276271
276279,50914,276279_50914
50994,276280,50994_276280
233903,276287,233903_276287
276279,276287,276279_276287
276314,15662,276314_15662
233973,276314,233973_276314
233963,276316,233963_276316
276589,227882,276589_227882
50939,276590,50939_276590
51125,276592,51125_276592
276594,234053,276594_234053
48713,276645,48713_276645
276692,51000,276692_51000
276695,51031,276695_51031
276699,51031,276699_51031
276924,276589,276924_276589
276316,276924,276316_276924
276977,233963,276977_233963
227883,276977,227883_276977
277160,51750,277160_51750
279428,48249,279428_48249
233454,279428,233454_279428
280161,50928,280161_50928
233501,280161,233501_280161
280198,276594,280198_276594
233480,280198,233480_280198
228219,50830,228219_50830
280974,234101,280974_234101
50889,280974,50889_280974
281263,50889,281263_50889
281277,280807,281277_280807
340425,281277,340425_281277
340426,340425,340426_340425
50865,281282,50865_281282
281283,50842,281283_50842
340429,281283,340429_281283
50603,281294,50603_281294
281326,500282,281326_500282
233429,281326,233429_281326
281332,233402,281332_233402
50748,281332,50748_281332
201375,281337,201375_281337
281338,51038,281338_51038
281337,281338,281337_281338
281339,51030,281339_51030
281340,209118,281340_209118
51024,51019,51024_51019
51037,281342,51037_281342
281367,51080,281367_51080
51076,281367,51076_281367
233807,281729,233807_281729
233967,283806,233967_283806
283813,198043,283813_198043
285813,340429,285813_340429
281282,285813,281282_285813
285814,340426,285814_340426
232694,285814,232694_285814
286590,50923,286590_50923
50925,286590,50925_286590
50998,286597,50998_286597
298108,50824,298108_50824
299407,233990,299407_233990
51075,299407,51075_299407
299435,50975,299435_50975
50980,299435,50980_299435
299788,50554,299788_50554
299832,50853,299832_50853
234029,299832,234029_299832
299912,50989,299912_50989
299913,299912,299913_299912
50988,299913,50988_299913
299914,50991,299914_50991
50989,299914,50989_299914
256676,300058,256676_300058
281342,300058,281342_300058
300067,275374,300067_275374
51867,300067,51867_300067
300129,50875,300129_50875
50979,300129,50979_300129
300213,281263,300213_281263
50901,300213,50901_300213
300315,224851,300315_224851
276592,300315,276592_300315
300722,51749,300722_51749
300723,50907,300723_50907
50908,300723,50908_300723
300724,50905,300724_50905
276645,300724,276645_300724
300797,50934,300797_50934
50935,300797,50935_300797
500281,270074,500281_270074
50974,50854,50974_50854
320675,50938,320675_50938
276590,320675,276590_320675
324686,270131,324686_270131
276699,328614,276699_328614
276692,328614,276692_328614
331072,51745,331072_51745
331073,331072,331073_331072
232905,331073,232905_331073
50815,334672,50815_334672
50813,334672,50813_334672
335772,50984,335772_50984
276280,335772,276280_335772
335773,50982,335773_50982
335774,335773,335774_335773
50990,335774,50990_335774
281729,335779,281729_335779
340242,50820,340242_50820
233808,340242,233808_340242
50822,340243,50822_340243
50819,340243,50819_340243
340244,233879,340244_233879
233868,340244,233868_340244
340456,50831,340456_50831
990008,993008,990008_993008
281444,990008,281444_990008
990008,281443,990008_281443
990008,270746,990008_270746
990024,50867,990024_50867
990007,990024,990007_990024
990007,50841,990007_50841
990024,285813,990024_285813
990024,285814,990024_285814
990007,280807,990007_280807
990007,50842,990007_50842
990006,50832,990006_50832
990006,172788,990006_172788
990005,48275,990005_48275
990023,50827,990023_50827
990023,50569,990023_50569
990023,50558,990023_50558
990025,50994,990025_50994
990025,234039,990025_234039
990025,50990,990025_50990
990025,234039,990025_234039
990026,51097,990026_51097
990027,51861,990027_51861
50995,50989,50995_50989
990008,990009,990008_990009
990006,990007,990006_990007
990005,990006,990005_990006
990026,990025,990026_990025
990027,990026,990027_990026
990024,990025,990024_990025
990024,990023,990024_990023
990007,990008,990007_990008
990006,990005,990006_990005
990007,990006,990007_990006
990008,990007,990008_990007
990009,990008,990009_990008
990026,990027,990026_990027
990025,990026,990025_990026
990025,990024,990025_990024
990023,990024,990023_990024
990022,990023,990022_990023
990023,990022,990023_990022
48275,990005,48275_990005
172788,990006,172788_990006
50832,990006,50832_990006
50867,990024,50867_990024
990024,990007,990024_990007
50841,990007,50841_990007
285813,990024,285813_990024
285814,990024,285814_990024
280807,990007,280807_990007
50842,990007,50842_990007
990008,281444,990008_281444
993008,990008,993008_990008
270746,990008,270746_990008
281443,990008,281443_990008
50558,990023,50558_990023
50569,990023,50569_990023
50749,993008,50749_993008
993008,50749,993008_50749
993008,270746,993008_270746
270746,993008,270746_993008
51097,990026,51097_990026
500153,51765,500153_51765
51765,500153,51765_500153
999117,500153,999117_500153
223859,999117,223859_999117
223859,500153,223859_500153
500153,223859,500153_223859
500168,51867,500168_51867
51867,500168,51867_500168
51125,500168,51125_500168
500168,51125,500168_51125
500169,51126,500169_51126
224901,500169,224901_500169
500170,50929,500170_50929
50929,500170,50929_500170
51059,500170,51059_500170
500170,51059,500170_51059
500171,50916,500171_50916
500172,50923,500172_50923
500174,51056,500174_51056
51070,500180,51070_500180
51055,500179,51055_500179
51053,500178,51053_500178
500177,50923,500177_50923
500179,51055,500179_51055
50923,500177,50923_500177
286594,500173,286594_500173
500175,51071,500175_51071
500176,51073,500176_51073
50923,500171,50923_500171
51054,500172,51054_500172
500173,286593,500173_286593
51071,500174,51071_500174
270075,500175,270075_500175
281375,500176,281375_500176
50922,500177,50922_500177
500177,50922,500177_50922
500178,51054,500178_51054
500179,51056,500179_51056
500180,51071,500180_51071
500183,51070,500183_51070
51053,500184,51053_500184
500182,51072,500182_51072
51072,500181,51072_500181
500181,51127,500181_51127
51070,500182,51070_500182
51055,500183,51055_500183
500184,51055,500184_51055
50880,500185,50880_500185
500185,50880,500185_50880
50993,500186,50993_500186
51004,500187,51004_500187
51034,500189,51034_500189
500188,51006,500188_51006
500189,51128,500189_51128
51072,500188,51072_500188
500187,51070,500187_51070
500186,51053,500186_51053
500185,50922,500185_50922
50922,500185,50922_500185
50995,500194,50995_500194
51003,500195,51003_500195
51033,500197,51033_500197
500196,51005,500196_51005
500194,50995,500194_50995
500194,50996,500194_50996
50996,500194,50996_500194
500195,51004,500195_51004
233470,500196,233470_500196
500197,281376,500197_281376
51032,500202,51032_500202
500204,51003,500204_51003
500198,51003,500198_51003
51003,500200,51003_500200
500201,51033,500201_51033
233471,51002,233471_51002
225723,500198,225723_500198
224858,500204,224858_500204
500200,51005,500200_51005
233469,500201,233469_500201
500202,51033,500202_51033
500205,50986,500205_50986
51032,500208,51032_500208
500207,51032,500207_51032
50978,50986,50978_50986
51035,500209,51035_500209
500210,51032,500210_51032
500212,50998,500212_50998
51002,500206,51002_500206
51002,500211,51002_500211
50986,500205,50986_500205
500208,51032,500208_51032
51032,500207,51032_500207
500209,51035,500209_51035
500206,51002,500206_51002
50998,500205,50998_500205
500206,286597,500206_286597
51002,500207,51002_500207
500208,51036,500208_51036
51036,500208,51036_500208
500207,51002,500207_51002
286597,500206,286597_500206
500205,50998,500205_50998
286596,500212,286596_500212
500211,51001,500211_51001
276693,500210,276693_500210
500209,51036,500209_51036
51036,500209,51036_500209
50997,500214,50997_500214
500215,50997,500215_50997
500221,50997,500221_50997
51013,51031,51013_51031
500218,51035,500218_51035
51035,500216,51035_500216
51037,500217,51037_500217
234038,500222,234038_500222
233450,500220,233450_500220
500214,50997,500214_50997
50997,500215,50997_500215
51035,500218,51035_500218
500216,51035,500216_51035
500222,234035,500222_234035
50968,500221,50968_500221
500220,328620,500220_328620
51023,500218,51023_500218
500218,51023,500218_51023
500217,233477,500217_233477
500216,276695,500216_276695
276695,500216,276695_500216
50999,500215,50999_500215
500215,50999,500215_50999
500214,50985,500214_50985
50985,500214,50985_500214
50880,500223,50880_500223
500223,50880,500223_50880
500223,199557,500223_199557
199557,500223,199557_500223
50879,500224,50879_500224
500224,50863,500224_50863
50970,500225,50970_500225
500225,50970,500225_50970
500225,50966,500225_50966
50966,500225,50966_500225
50825,500241,50825_500241
500226,50605,500226_50605
50605,500227,50605_500227
500241,50825,500241_50825
50605,500226,50605_500226
500227,50605,500227_50605
500241,50815,500241_50815
50815,500241,50815_500241
500227,281294,500227_281294
281294,500227,281294_500227
50616,500226,50616_500226
500226,50616,500226_50616
500228,50834,500228_50834
50616,500230,50616_500230
233812,500229,233812_500229
50834,500228,50834_500228
500230,50617,500230_50617
500229,233661,500229_233661
50603,500228,50603_500228
500228,50603,500228_50603
500233,50828,500233_50828
50834,500232,50834_500232
500231,50617,500231_50617
50824,500233,50824_500233
500232,50836,500232_50836
50836,500231,50836_500231
500234,50831,500234_50831
50828,500235,50828_500235
500236,50838,500236_50838
50843,500237,50843_500237
50831,500234,50831_500234
500235,50828,500235_50828
50838,500236,50838_500236
50824,500234,50824_500234
500234,50824,500234_50824
500235,50839,500235_50839
50839,500235,50839_500235
50834,500236,50834_500236
500236,50834,500236_50834
500237,233439,500237_233439
50843,500239,50843_500239
50844,500238,50844_500238
50839,500240,50839_500240
500240,233438,500240_233438
500239,50838,500239_50838
500238,50843,500238_50843
51056,500179,51056_500179
203943,283813,203943_283813
233498,50920,233498_50920
233504,51060,233504_51060
172788,233606,172788_233606
233862,233860,233862_233860
233606,233862,233606_233862
233875,203943,233875_203943
233874,233875,233874_233875
233881,233874,233881_233874
233860,233881,233860_233881
233887,48343,233887_48343
261266,233887,261266_233887
48344,261266,48344_261266
275383,48344,275383_48344
232729,275383,232729_275383
283804,172788,283804_172788
280156,50928,280156_50928
280159,280156,280159_280156
51058,280159,51058_280159
280177,233498,280177_233498
50928,280177,50928_280177
280971,276597,280971_276597
50833,280971,50833_280971
270844,280972,270844_280972
276597,283804,276597_283804
300214,232729,300214_232729
280972,300214,280972_300214
50904,50917,50904_50917
50903,50904,50903_50904
51060,51058,51060_51058
50902,213019,50902_213019
50918,226829,50918_226829
50917,232154,50917_232154
213019,233494,213019_233494
233494,50903,233494_50903
51066,233504,51066_233504
232154,233972,232154_233972
233972,50918,233972_50918
50860,283807,50860_283807
283807,283806,283807_283806
51861,990027,51861_990027
234039,990025,234039_990025
234039,990025,234039_990025
50994,990025,50994_990025
50990,990025,50990_990025
50827,990023,50827_990023
50743,202738,50743_202738
51135,51136,51135_51136
500191,51004,500191_51004
500190,51006,500190_51006
51034,500190,51034_500190
51006,500191,51006_500191
51004,500192,51004_500192
500192,233473,500192_233473
233818,500193,233818_500193
500193,233474,500193_233474
50879,50881,50879_50881
50881,50876,50881_50876
50876,50979,50876_50979
50979,50980,50979_50980
500224,50879,500224_50879
50863,500224,50863_500224
462,48276,462_48276
464,48275,464_48275
465,276251,465_276251
467,174153,467_174153
467,48344,467_48344
483,51745,483_51745
490,234124,490_234124
555,275374,555_275374
556,51896,556_51896
559,232902,559_232902
604,51146,604_51146
604,51119,604_51119
604,233517,604_233517
605,233517,605_233517
605,233519,605_233519
606,281368,606_281368
606,500176,606_500176
607,51131,607_51131
607,270076,607_270076
607,500181,607_500181
609,500181,609_500181
610,500197,610_500197
610,500201,610_500201
612,281421,612_281421
613,500201,613_500201
614,276699,614_276699
615,233452,615_233452
615,500220,615_500220
616,233481,616_233481
618,270972,618_270972
657,233476,657_233476
657,269993,657_269993
658,51012,658_51012
661,270753,661_270753
661,270746,661_270746
662,176835,662_176835
663,281318,663_281318
663,270757,663_270757
664,281286,664_281286
664,281318,664_281318
664,234071,664_234071
665,234017,665_234017
665,50962,665_50962
665,234071,665_234071
666,270758,666_270758
666,270757,666_270757
667,51011,667_51011
667,51012,667_51012
668,51010,668_51010
668,50971,668_50971
668,233452,668_233452
669,50967,669_50967
670,500220,670_500220
671,500212,671_500212
671,500211,671_500211
671,500206,671_500206
672,500204,672_500204
672,500206,672_500206
674,500192,674_500192
675,276280,675_276280
675,500204,675_500204
676,500212,676_500212
676,500214,676_500214
677,500214,677_500214
677,50961,677_50961
678,50962,678_50962
678,50956,678_50956
678,50959,678_50959
679,281285,679_281285
679,281286,679_281286
679,50956,679_50956
680,13229,680_13229
680,50850,680_50850
682,50867,682_50867
682,50871,682_50871
683,50871,683_50871
683,50875,683_50875
683,50975,683_50975
684,500222,684_500222
684,50974,684_50974
685,50981,685_50981
686,50981,686_50981
687,225722,687_225722
688,50988,688_50988
688,500193,688_500193
689,50987,689_50987
689,50991,689_50991
690,50882,690_50882
690,50881,690_50881
691,50869,691_50869
691,50875,691_50875
691,50876,691_50876
692,50858,692_50858
692,50868,692_50868
693,50858,693_50858
694,225731,694_225731
695,283806,695_283806
695,280971,695_280971
695,233480,695_233480
696,233956,696_233956
696,233967,696_233967
697,232726,697_232726
697,199563,697_199563
697,233479,697_233479
698,233956,698_233956
698,286623,698_286623
699,500223,699_500223
699,268780,699_268780
700,213139,700_213139
700,268780,700_268780
701,50924,701_50924
702,500193,702_500193
702,234039,702_234039
703,500192,703_500192
703,234039,703_234039
705,270076,705_270076
705,500175,705_500175
707,500173,707_500173
708,50924,708_50924
709,51057,709_51057
709,50925,709_50925
710,280156,710_280156
710,233501,710_233501
710,233509,710_233509
711,233509,711_233509
711,51061,711_51061
711,51067,711_51067
712,280158,712_280158
713,500173,713_500173
714,233503,714_233503
714,233990,714_233990
714,51069,714_51069
715,232872,715_232872
715,276591,715_276591
716,276591,716_276591
716,500175,716_500175
716,281367,716_281367
717,51069,717_51069
719,233500,719_233500
720,51116,720_51116
721,51116,721_51116
721,234048,721_234048
722,51146,722_51146
722,261443,722_261443
722,234048,722_234048
723,51124,723_51124
723,51148,723_51148
723,51149,723_51149
724,51148,724_51148
724,232902,724_232902
724,51900,724_51900
725,500169,725_500169
726,51124,726_51124
726,51122,726_51122
727,300315,727_300315
727,51109,727_51109
727,207851,727_207851
728,232904,728_232904
728,300067,728_300067
729,232904,729_232904
729,232903,729_232903
729,224854,729_224854
730,51103,730_51103
730,51108,730_51108
731,51106,731_51106
733,51752,733_51752
733,223859,733_223859
733,15659,733_15659
734,50904,734_50904
734,50933,734_50933
734,50936,734_50936
735,300724,735_300724
736,50900,736_50900
736,50888,736_50888
737,50919,737_50919
737,232154,737_232154
737,50900,737_50900
738,280177,738_280177
738,50927,738_50927
739,50925,739_50925
740,233908,740_233908
740,230330,740_230330
741,230330,741_230330
741,233922,741_233922
741,500223,741_500223
742,276403,742_276403
742,233940,742_233940
742,50913,742_50913
744,276597,744_276597
745,276268,745_276268
746,50830,746_50830
746,50832,746_50832
746,276601,746_276601
747,50842,747_50842
748,50837,748_50837
748,50842,748_50842
749,280807,749_280807
749,276283,749_276283
750,500237,750_500237
751,50837,751_50837
751,50835,751_50835
752,500240,752_500240
753,50830,753_50830
753,50829,753_50829
754,50823,754_50823
756,50823,756_50823
756,500241,756_500241
757,50835,757_50835
757,50827,757_50827
757,50826,757_50826
758,500229,758_500229
759,50602,759_50602
759,50571,759_50571
760,50571,760_50571
761,50812,761_50812
763,50555,763_50555
763,50556,763_50556
764,50602,764_50602
765,500229,765_500229
766,500237,766_500237
766,234041,766_234041
767,276315,767_276315
767,276283,767_276283
768,50951,768_50951
768,50847,768_50847
769,234041,769_234041
769,234040,769_234040
769,234023,769_234023
769,50951,769_50951
770,233662,770_233662
770,234040,770_234040
770,233430,770_233430
771,233430,771_233430
771,233424,771_233424
772,233425,772_233425
773,233432,773_233432
773,233662,773_233662
774,233433,774_233433
775,261213,775_261213
775,233432,775_233432
775,234023,775_234023
775,233433,775_233433
776,261213,776_261213
777,202738,777_202738
777,50749,777_50749
778,50749,778_50749
790,50601,790_50601
791,50563,791_50563
733,15662,733_15662
732,320675,732_320675
467,48349,467_48349
734,50909,734_50909
737,233895,737_233895
772,233424,772_233424
777,224902,777_224902
669,234020,669_234020
669,234011,669_234011
694,233480,694_233480
760,50570,760_50570
681,285813,681_285813
681,50867,681_50867
691,50878,691_50878
732,999117,732_999117
735,276314,735_276314
467,233600,467_233600
465,203943,465_203943
745,990006,745_990006
464,990006,464_990006
464,340244,464_340244
724,500169,724_500169
728,300315,728_300315
729,233524,729_233524
723,261443,723_261443
719,51088,719_51088
742,50914,742_50914
743,231816,743_231816
696,233940,696_233940
681,285814,681_285814
681,990024,681_990024
748,990024,748_990024
662,270754,662_270754
662,990008,662_990008
777,990008,777_990008
764,50604,764_50604
761,50570,761_50570
658,234045,658_234045
711,51060,711_51060
712,51060,712_51060
713,286592,713_286592
735,253365,735_253365
48276,462,48276_462
48275,464,48275_464
276251,465,276251_465
174153,467,174153_467
48344,467,48344_467
51745,483,51745_483
234124,490,234124_490
275374,555,275374_555
51896,556,51896_556
232902,559,232902_559
51146,604,51146_604
51119,604,51119_604
233517,604,233517_604
233517,605,233517_605
233519,605,233519_605
281368,606,281368_606
500176,606,500176_606
51131,607,51131_607
270076,607,270076_607
500181,607,500181_607
500181,609,500181_609
500197,610,500197_610
500201,610,500201_610
281421,612,281421_612
500201,613,500201_613
276699,614,276699_614
233452,615,233452_615
500220,615,500220_615
233481,616,233481_616
270972,618,270972_618
233476,657,233476_657
269993,657,269993_657
51012,658,51012_658
270753,661,270753_661
270746,661,270746_661
176835,662,176835_662
281318,663,281318_663
270757,663,270757_663
281286,664,281286_664
281318,664,281318_664
234071,664,234071_664
234017,665,234017_665
50962,665,50962_665
234071,665,234071_665
270758,666,270758_666
270757,666,270757_666
51011,667,51011_667
51012,667,51012_667
51010,668,51010_668
50971,668,50971_668
233452,668,233452_668
50967,669,50967_669
500220,670,500220_670
500212,671,500212_671
500211,671,500211_671
500206,671,500206_671
500204,672,500204_672
500206,672,500206_672
500192,674,500192_674
276280,675,276280_675
500204,675,500204_675
500212,676,500212_676
500214,676,500214_676
500214,677,500214_677
50961,677,50961_677
50962,678,50962_678
50956,678,50956_678
50959,678,50959_678
281285,679,281285_679
281286,679,281286_679
50956,679,50956_679
13229,680,13229_680
50850,680,50850_680
50867,682,50867_682
50871,682,50871_682
50871,683,50871_683
50875,683,50875_683
50975,683,50975_683
500222,684,500222_684
50974,684,50974_684
50981,685,50981_685
50981,686,50981_686
225722,687,225722_687
50988,688,50988_688
500193,688,500193_688
50987,689,50987_689
50991,689,50991_689
50882,690,50882_690
50881,690,50881_690
50869,691,50869_691
50875,691,50875_691
50876,691,50876_691
50858,692,50858_692
50868,692,50868_692
50858,693,50858_693
225731,694,225731_694
283806,695,283806_695
280971,695,280971_695
233480,695,233480_695
233956,696,233956_696
233967,696,233967_696
232726,697,232726_697
199563,697,199563_697
233479,697,233479_697
233956,698,233956_698
286623,698,286623_698
500223,699,500223_699
268780,699,268780_699
213139,700,213139_700
268780,700,268780_700
50924,701,50924_701
500193,702,500193_702
234039,702,234039_702
500192,703,500192_703
234039,703,234039_703
270076,705,270076_705
500175,705,500175_705
500173,707,500173_707
50924,708,50924_708
51057,709,51057_709
50925,709,50925_709
280156,710,280156_710
233501,710,233501_710
233509,710,233509_710
233509,711,233509_711
51061,711,51061_711
51067,711,51067_711
280158,712,280158_712
500173,713,500173_713
233503,714,233503_714
233990,714,233990_714
51069,714,51069_714
232872,715,232872_715
276591,715,276591_715
276591,716,276591_716
500175,716,500175_716
281367,716,281367_716
51069,717,51069_717
233500,719,233500_719
51116,720,51116_720
51116,721,51116_721
234048,721,234048_721
51146,722,51146_722
261443,722,261443_722
234048,722,234048_722
51124,723,51124_723
51148,723,51148_723
51149,723,51149_723
51148,724,51148_724
232902,724,232902_724
51900,724,51900_724
500169,725,500169_725
51124,726,51124_726
51122,726,51122_726
300315,727,300315_727
51109,727,51109_727
207851,727,207851_727
232904,728,232904_728
300067,728,300067_728
232904,729,232904_729
232903,729,232903_729
224854,729,224854_729
51103,730,51103_730
51108,730,51108_730
51106,731,51106_731
51752,733,51752_733
223859,733,223859_733
15659,733,15659_733
50904,734,50904_734
50933,734,50933_734
50936,734,50936_734
300724,735,300724_735
50900,736,50900_736
50888,736,50888_736
50919,737,50919_737
232154,737,232154_737
50900,737,50900_737
280177,738,280177_738
50927,738,50927_738
50925,739,50925_739
233908,740,233908_740
230330,740,230330_740
230330,741,230330_741
233922,741,233922_741
500223,741,500223_741
276403,742,276403_742
233940,742,233940_742
50913,742,50913_742
276597,744,276597_744
276268,745,276268_745
50830,746,50830_746
50832,746,50832_746
276601,746,276601_746
50842,747,50842_747
50837,748,50837_748
50842,748,50842_748
280807,749,280807_749
276283,749,276283_749
500237,750,500237_750
50837,751,50837_751
50835,751,50835_751
500240,752,500240_752
50830,753,50830_753
50829,753,50829_753
50823,754,50823_754
50823,756,50823_756
50826,756,50826_756
50835,757,50835_757
50827,757,50827_757
50826,757,50826_757
500229,758,500229_758
50602,759,50602_759
50571,759,50571_759
50571,760,50571_760
50812,761,50812_761
50555,763,50555_763
50556,763,50556_763
50602,764,50602_764
500229,765,500229_765
500237,766,500237_766
234041,766,234041_766
276315,767,276315_767
276283,767,276283_767
50951,768,50951_768
50847,768,50847_768
234041,769,234041_769
234040,769,234040_769
234023,769,234023_769
50951,769,50951_769
233662,770,233662_770
234040,770,234040_770
233430,770,233430_770
233430,771,233430_771
233424,771,233424_771
233425,772,233425_772
233432,773,233432_773
233662,773,233662_773
233433,774,233433_774
261213,775,261213_775
233432,775,233432_775
234023,775,234023_775
233433,775,233433_775
261213,776,261213_776
202738,777,202738_777
50749,777,50749_777
50749,778,50749_778
50601,790,50601_790
50563,791,50563_791
15662,733,15662_733
320675,732,320675_732
48349,467,48349_467
50909,734,50909_734
233895,737,233895_737
233424,772,233424_772
224902,777,224902_777
234020,669,234020_669
234011,669,234011_669
233480,694,233480_694
50570,760,50570_760
285813,681,285813_681
50867,681,50867_681
50878,691,50878_691
999117,732,999117_732
276314,735,276314_735
233600,467,233600_467
203943,465,203943_465
990006,745,990006_745
990006,464,990006_464
340244,464,340244_464
500169,724,500169_724
300315,728,300315_728
233524,729,233524_729
261443,723,261443_723
51088,719,51088_719
50914,742,50914_742
231816,743,231816_743
233940,696,233940_696
285814,681,285814_681
990024,681,990024_681
990024,748,990024_748
270754,662,270754_662
990008,662,990008_662
990008,777,990008_777
50604,764,50604_764
50570,761,50570_761
234045,658,234045_658
51060,711,51060_711
51060,712,51060_712
286592,713,286592_713
253365,735,253365_735
772,50615,772_50615
50615,772,50615_772
771,50601,771_50601
50601,771,50601_771
771,50604,771_50604
50604,771,50604_771
773,50615,773_50615
50615,773,50615_773
728,500168,728_500168
500168,728,500168_728
725,500168,725_500168
500168,725,500168_725
727,269985,727_269985
269985,727,269985_727
693,285813,693_285813
285813,693,285813_693
694,233479,694_233479
233479,694,233479_694
698,232726,698_232726
232726,698,232726_698
739,50919,739_50919
50919,739,50919_739
712,51064,712_51064
51064,712,51064_712
666,234072,666_234072
234072,666,234072_666
665,234072,665_234072
234072,665,234072_665
663,281443,663_281443
281443,663,281443_663
662,233821,662_233821
233821,662,233821_662
773,233429,773_233429
233429,773,233429_773
776,281444,776_281444
281444,776,281444_776
611,233468,611_233468
233468,611,233468_611
611,233492,611_233492
233492,611,233492_611
687,50991,687_50991
50991,687,50991_687
615,276699,615_276699
276699,615,276699_615
670,234011,670_234011
234011,670,234011_670
701,50885,701_50885
50885,701,50885_701
713,51064,713_51064
51064,713,51064_713
717,233507,717_233507
233507,717,233507_717
718,51088,718_51088
51088,718,51088_718
718,233819,718_233819
233819,718,233819_718
719,500170,719_500170
500170,719,500170_719
710,500170,710_500170
500170,710,500170_710
715,500174,715_500174
500174,715,500174_715
709,500172,709_500172
500172,709,500172_709
739,500171,739_500171
500171,739,500171_739
740,500171,740_500171
500171,740,500171_740
708,500172,708_500172
500172,708,500172_708
706,500174,706_500174
500174,706,500174_706
607,500176,607_500176
607,500176,607_500176
707,500184,707_500184
500184,707,500184_707
706,500183,706_500183
500183,706,500183_706
705,500182,705_500182
500182,705,500182_705
705,500180,705_500180
500180,705,500180_705
706,500180,706_500180
500180,706,500180_706
706,500179,706_500179
500179,706,500179_706
707,500179,707_500179
500179,707,500179_707
707,500178,707_500178
500178,707,500178_707
500178,708,500178_708
708,500178,708_500178
500177,708,500177_708
708,500177,708_500177
740,500177,740_500177
500177,740,500177_740
702,500184,702_500184
500184,702,500184_702
703,500183,703_500183
500183,703,500183_703
704,500182,704_500182
500182,704,500182_704
609,500190,609_500190
500190,609,500190_609
609,500189,609_500189
500189,609,500189_609
609,500188,609_500188
500188,609,500188_609
704,500191,704_500191
500191,704,500191_704
704,500188,704_500188
500188,704,500188_704
704,500187,704_500187
500187,704,500187_704
703,500187,703_500187
500187,703,500187_703
702,500186,702_500186
500186,702,500186_702
701,500186,701_500186
500186,701,500186_701
701,500185,701_500185
500185,701,500185_701
741,500185,741_500185
500185,741,500185_741
610,500190,610_500190
500190,610,500190_610
610,500196,610_500196
500196,610,500196_610
673,500196,673_500196
500196,673,500196_673
673,500191,673_500191
500195,673,500195_673
673,500195,673_500195
673,500200,673_500200
500200,673,500200_673
500191,673,500191_673
674,500198,674_500198
500198,674,500198_674
674,500195,674_500195
500195,674,500195_674
674,500194,674_500194
500194,674,500194_674
688,500194,688_500194
500194,688,500194_688
612,500202,612_500202
500202,612,500202_612
612,500208,612_500208
500208,612,500208_612
613,500202,613_500202
500202,613,500202_613
613,500203,613_500203
500203,613,500203_613
672,500203,672_500203
500203,672,500203_672
672,500200,672_500200
500200,672,500200_672
675,500198,675_500198
500198,675,500198_675
675,500205,675_500205
500205,675,500205_675
613,500207,613_500207
500207,613,500207_613
614,500207,614_500207
500207,614,500207_614
614,500210,614_500210
500210,614,500210_614
614,500211,614_500211
