stop_id,thrs,service_id,stop_lat,stop_lon,has_park,type,stop_name,x,y,stop_key,nodeid
27,6.65,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_063900,233006
28,6.7,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_064200,281207
485,6.75,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_064500,48047
470,6.76666666667,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_064600,48276
796,6.78333333333,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_064700,50832
797,6.8,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_064800,281277
201,6.81666666667,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_064900,50953
798,6.85,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_065100,300648
799,6.9,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_065400,286241
204,6.93333333333,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_065600,500053
185,6.98333333333,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_065900,80538
206,7.03333333333,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_070200,81307
800,7.1,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_070600,81440
232,7.15,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_070900,500061
801,7.18333333333,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_071100,500062
27,6.81666666667,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_064900,233006
28,6.86666666667,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_065200,281207
485,6.91666666667,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_065500,48047
470,6.93333333333,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_065600,48276
796,6.95,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_065700,50832
797,6.96666666667,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_065800,281277
201,6.98333333333,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_065900,50953
798,7.01666666667,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_070100,300648
799,7.06666666667,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_070400,286241
204,7.1,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_070600,500053
185,7.15,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_070900,80538
206,7.2,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_071200,81307
800,7.26666666667,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_071600,81440
232,7.31666666667,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_071900,500061
801,7.35,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_072100,500062
27,6.98333333333,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_065900,233006
28,7.03333333333,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_070200,281207
485,7.08333333333,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_070500,48047
470,7.1,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_070600,48276
796,7.11666666667,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_070700,50832
797,7.13333333333,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_070800,281277
201,7.15,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_070900,50953
798,7.18333333333,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_071100,300648
799,7.23333333333,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_071400,286241
204,7.26666666667,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_071600,500053
185,7.31666666667,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_071900,80538
206,7.36666666667,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_072200,81307
800,7.43333333333,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_072600,81440
232,7.48333333333,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_072900,500061
