stop_id,thrs,service_id,stop_lat,stop_lon,has_park,type,stop_name,x,y,stop_key,nodeid
6998,7.48333333333,A,33.9168856,-84.3514073,False,grta,PtreeDunwoody-Concourse (W),2240539.707,1424868.518,6998_072900,210270
6971,7.56666666667,A,33.9108668,-84.3514824,False,grta,Medical Center MARTA Station,2240512.983,1422678.455,6971_073400,60572
6913,7.41666666667,A,34.1812757,-84.1428065,True,grta,Cumming P&R,2303799.208,1521026.374,6913_072500,500091
Sandy Springs MARTA Station,8.33333333333,A,33.9322072,-84.3507597,False,grta,Sandy Springs MARTA Station,2240746.163,1430443.354,Sandy Springs MARTA Station_082000,243287
Peachtree Center Pkwy (S),8.36666666667,A,33.92748638,-84.34420242,False,grta,Peachtree Center Pkwy (S),2242732.08,1428722.048,Peachtree Center Pkwy (S)_082200,60766
Peachtree Center Pkwy Office Park (S),8.4,A,33.92559497,-84.34520572,False,grta,Peachtree Center Pkwy Office Park (S),2242426.556,1428034.333,Peachtree Center Pkwy Office Park (S)_082400,269477
6970,8.43333333333,A,33.9213639,-84.3442726,False,grta,Dunwoody MARTA,2242706.939,1426494.251,6970_082600,269468
6998,8.51666666667,A,33.9168856,-84.3514073,False,grta,PtreeDunwoody-Concourse (W),2240539.707,1424868.518,6998_083100,210270
6971,8.6,A,33.9108668,-84.3514824,False,grta,Medical Center MARTA Station,2240512.983,1422678.455,6971_083600,60572
6916,7.0,A,34.067414,-84.1749179,False,grta,W Johns Crossing @ Emory Hospital,2294084.619,1479592.629,6916_070000,246791
6924,7.31666666667,A,34.0482027,-84.1774811,False,grta,10900 Medlock Bridge Rd (S),2293307.668,1472601.999,6924_071900,111323
10973356,7.33833333333,A,34.0402493,-84.1845202,False,grta,GA 141 @ Parsons Rd (S),2291175.038,1469708.182,10973356_072018,111283
6926,7.36333333333,A,34.0292595,-84.1871168,False,grta,GA 141 @ Medlock Br Pkwy (S),2290387.662,1465709.322,6926_072148,111180
6929,7.39083333333,A,34.0172921,-84.1904481,False,grta,GA 141 @ Medlock Crossing ShpCtr (S),2289377.384,1461354.808,6929_072327,246984
6930,7.48583333333,A,33.9810764,-84.215666,False,grta,Forum @ 5555 Ptree Pkwy (S),2281729.872,1448179.301,6930_072909,285975
6932,7.51916666667,A,33.9753556,-84.2242891,False,grta,Triangle Pkwy at Metric Dr (S),2279114.73,1446098.974,6932_073109,109621
6934,7.53888888889,A,33.9699886,-84.2231917,False,grta,5510 Spalding Dr (S),2279446.337,1444145.845,6934_073220,330368
6936,7.55583333333,A,33.9641971,-84.2247725,False,grta,HCA @ 5707 Peachtree Parkway (S),2278965.883,1442038.705,6936_073321,94698
6938,7.74972222222,A,33.9513523,-84.2348599,False,grta,6155 Peachtree Parkway (S),2275904.317,1437366.634,6938_074459,330359
6942,8.06666666667,A,33.9024615,-84.280586,True,grta,Doraville MARTA Station,2262018.52,1419588.683,6942_080400,90005
6916,8.0,A,34.067414,-84.1749179,False,grta,W Johns Crossing @ Emory Hospital,2294084.619,1479592.629,6916_080000,246791
6924,8.31666666667,A,34.0482027,-84.1774811,False,grta,10900 Medlock Bridge Rd (S),2293307.668,1472601.999,6924_081900,111323
10973356,8.33833333333,A,34.0402493,-84.1845202,False,grta,GA 141 @ Parsons Rd (S),2291175.038,1469708.182,10973356_082018,111283
6926,8.36333333333,A,34.0292595,-84.1871168,False,grta,GA 141 @ Medlock Br Pkwy (S),2290387.662,1465709.322,6926_082148,111180
6929,8.39083333333,A,34.0172921,-84.1904481,False,grta,GA 141 @ Medlock Crossing ShpCtr (S),2289377.384,1461354.808,6929_082327,246984
6930,8.48583333333,A,33.9810764,-84.215666,False,grta,Forum @ 5555 Ptree Pkwy (S),2281729.872,1448179.301,6930_082909,285975
6932,8.51916666667,A,33.9753556,-84.2242891,False,grta,Triangle Pkwy at Metric Dr (S),2279114.73,1446098.974,6932_083109,109621
6934,8.53888888889,A,33.9699886,-84.2231917,False,grta,5510 Spalding Dr (S),2279446.337,1444145.845,6934_083220,330368
6936,8.55583333333,A,33.9641971,-84.2247725,False,grta,HCA @ 5707 Peachtree Parkway (S),2278965.883,1442038.705,6936_083321,94698
6938,8.74972222222,A,33.9513523,-84.2348599,False,grta,6155 Peachtree Parkway (S),2275904.317,1437366.634,6938_084459,330359
6942,9.06666666667,A,33.9024615,-84.280586,True,grta,Doraville MARTA Station,2262018.52,1419588.683,6942_090400,90005
6942,6.16666666667,A,33.9024615,-84.280586,True,grta,Doraville MARTA Station,2262018.52,1419588.683,6942_061000,90005
6939,6.36666666667,A,33.9517705,-84.2342806,False,grta,Publix,2276080.085,1437518.692,6939_062200,94559
6937,6.40777777778,A,33.9637523,-84.2245311,False,grta,5664 Peachtree Parkway (N),2279038.984,1441876.81,6937_062428,210003
6935,6.42944444444,A,33.9702326,-84.2231058,False,grta,5515 Spalding Dr (N),2279472.429,1444234.618,6935_062546,330368
6933,6.45305555556,A,33.9753055,-84.2239274,False,grta,Triangle Pkwy at Metric Dr (N),2279224.371,1446080.682,6933_062711,94719
6931,6.49555555556,A,33.9809176,-84.2152161,False,grta,GA 141,2281866.226,1448121.452,6931_062944,285975
6928,6.6125,A,34.0171449,-84.190027,False,grta,GA 141@ State Br Corners ShpCtr (N),2289504.968,1461301.215,6928_063645,246984
6927,6.64722222222,A,34.0294378,-84.1866944,False,grta,GA 141 @ Medlock Br Pkwy (N),2290515.647,1465774.177,6927_063850,111180
10973355,6.67722222222,A,34.0401782,-84.1842949,False,grta,GA 141 @ Parsons Rd (N),2291243.283,1469682.298,10973355_064038,111284
6925,6.7,A,34.0467209,-84.1781636,False,grta,GA 141 @ Abbotts Br ShpCtr (N),2293100.88,1472062.818,6925_064200,111323
6923,6.75083333333,A,34.0559828,-84.1698421,False,grta,Across from 11315 Johns Creek Pkwy (N),2295621.59,1475432.899,6923_064503,275467
6921,6.78777777778,A,34.0632101,-84.1645968,False,grta,JC Pkwy @ E Johns Crossing (N),2297210.18,1478062.797,6921_064716,112429
6917,6.81083333333,A,34.0682583,-84.1618609,False,grta,JC Pkwy @ Johns Creek Ct (N),2298038.645,1479899.79,6917_064839,125130
6974,6.82888888889,A,34.0717541,-84.1651071,False,grta,JC Pkwy @ Commerce Way (N),2297055.591,1481171.831,6974_064944,125135
6916,6.88305555556,A,34.067414,-84.1749179,False,grta,W Johns Crossing @ Emory Hospital,2294084.619,1479592.629,6916_065259,246791
6942,7.08333333333,A,33.9024615,-84.280586,True,grta,Doraville MARTA Station,2262018.52,1419588.683,6942_070500,90005
6939,7.33333333333,A,33.9517705,-84.2342806,False,grta,Publix,2276080.085,1437518.692,6939_072000,94559
6937,7.38055555556,A,33.9637523,-84.2245311,False,grta,5664 Peachtree Parkway (N),2279038.984,1441876.81,6937_072250,210003
