dist,duration,route_id1,route_id2,service_id,stop1,stop2,stop_key1,stop_key2,stop_sequence1,stop_sequence2,thrs1,thrs2,trip_id1,trip_id2,type
1.6114014143,0.65,10909.0,10912.0,5.0,485,270.0,485_071500,270_075400,3.0,10.0,7.25,7.9,3764636.0,3767417.0,transfer
1.6114014143,0.816666666667,10909.0,10912.0,5.0,485,270.0,485_071500,270_080400,3.0,10.0,7.25,8.06666666667,3764636.0,3767418.0,transfer
1.6114014143,0.983333333333,10909.0,10912.0,5.0,485,270.0,485_071500,270_081400,3.0,10.0,7.25,8.23333333333,3764636.0,3767419.0,transfer
1.6114014143,0.15,10909.0,10912.0,5.0,485,270.0,485_072500,270_073400,3.0,10.0,7.41666666667,7.56666666667,3764637.0,3767415.0,transfer
1.6114014143,0.316666666667,10909.0,10912.0,5.0,485,270.0,485_072500,270_074400,3.0,10.0,7.41666666667,7.73333333333,3764637.0,3767416.0,transfer
1.6114014143,0.483333333333,10909.0,10912.0,5.0,485,270.0,485_072500,270_075400,3.0,10.0,7.41666666667,7.9,3764637.0,3767417.0,transfer
1.6114014143,0.65,10909.0,10912.0,5.0,485,270.0,485_072500,270_080400,3.0,10.0,7.41666666667,8.06666666667,3764637.0,3767418.0,transfer
1.6114014143,0.816666666667,10909.0,10912.0,5.0,485,270.0,485_072500,270_081400,3.0,10.0,7.41666666667,8.23333333333,3764637.0,3767419.0,transfer
1.6114014143,0.983333333333,10909.0,10912.0,5.0,485,270.0,485_072500,270_082400,3.0,10.0,7.41666666667,8.4,3764637.0,3767420.0,transfer
1.6114014143,0.15,10909.0,10912.0,5.0,485,270.0,485_073500,270_074400,3.0,10.0,7.58333333333,7.73333333333,3764638.0,3767416.0,transfer
1.6114014143,0.316666666667,10909.0,10912.0,5.0,485,270.0,485_073500,270_075400,3.0,10.0,7.58333333333,7.9,3764638.0,3767417.0,transfer
1.6114014143,0.483333333333,10909.0,10912.0,5.0,485,270.0,485_073500,270_080400,3.0,10.0,7.58333333333,8.06666666667,3764638.0,3767418.0,transfer
1.6114014143,0.65,10909.0,10912.0,5.0,485,270.0,485_073500,270_081400,3.0,10.0,7.58333333333,8.23333333333,3764638.0,3767419.0,transfer
1.6114014143,0.816666666667,10909.0,10912.0,5.0,485,270.0,485_073500,270_082400,3.0,10.0,7.58333333333,8.4,3764638.0,3767420.0,transfer
1.6114014143,0.983333333333,10909.0,10912.0,5.0,485,270.0,485_073500,270_083400,3.0,10.0,7.58333333333,8.56666666667,3764638.0,3767421.0,transfer
1.6114014143,0.15,10909.0,10912.0,5.0,485,270.0,485_074500,270_075400,3.0,10.0,7.75,7.9,3764639.0,3767417.0,transfer
1.6114014143,0.316666666667,10909.0,10912.0,5.0,485,270.0,485_074500,270_080400,3.0,10.0,7.75,8.06666666667,3764639.0,3767418.0,transfer
