veh_type,speed_mph,energyrate_kjpermile,energyrate_kjperhr,energyrate_kwhpermile,energyrate_kwhperhr
grta,15,31221.89615,468328.4423,8.672748931,130.091234
grta,16,30371.88491,485950.1586,8.436634697,134.9861552
grta,17,29585.3337,502950.6729,8.21814825,139.7085203
grta,18,28886.17717,519951.1891,8.023938103,144.4308859
grta,19,28260.60688,536951.5307,7.850168578,149.153203
grta,20,27697.59335,553951.867,7.693775931,153.8755186
grta,21,27154.08964,570235.8824,7.542802678,158.3988562
grta,22,26529.81965,583656.0323,7.369394347,162.1266756
grta,23,25959.7717,597074.7491,7.211047694,165.854097
grta,24,25437.25435,610494.1044,7.065903986,169.5816957
grta,25,25124.21021,628105.2553,6.978947281,174.473682
grta,26,24996.51547,649909.4022,6.943476519,180.5303895
grta,27,24878.28249,671713.6272,6.910634025,186.5871187
grta,28,24768.48369,693517.5433,6.880134358,192.643762
grta,29,24666.25646,715321.4373,6.851737906,198.7003993
grta,30,24570.84999,737125.4997,6.825236108,204.7570833
grta,31,24481.59542,758929.458,6.800443172,210.8137383
grta,32,23752.34586,760075.0675,6.59787385,211.1319632
grta,33,22441.25992,740561.5774,6.233683311,205.7115493
grta,34,21207.29116,721047.8994,5.890914211,200.2910832
grta,35,20622.27471,721779.6149,5.728409642,200.4943375
grta,36,20444.66423,736007.9123,5.679073397,204.4466423
grta,37,20276.65885,750236.3775,5.632405236,208.3989937
grta,38,20117.50161,764465.0612,5.588194892,212.3514059
grta,39,19966.46651,778692.1939,5.546240697,216.3033872
grta,40,19823.0232,792920.928,5.506395333,220.2558133
grta,41,19686.55471,807148.7431,5.468487419,224.2079842
grta,42,19556.58429,821376.5402,5.432384525,228.1601501
grta,43,19432.66834,835604.7386,5.397963428,232.1124274
grta,44,19314.37273,849832.4001,5.365103536,236.0645556
grta,45,19204.66355,864209.8598,5.334628764,240.0582944
grta,46,19102.92228,878734.4249,5.3063673,244.0928958
grta,47,19005.48349,893257.724,5.279300969,248.1271456
grta,48,18912.14328,907782.8774,5.253373133,252.1619104
grta,49,18822.60423,922307.6073,5.228501175,256.1965576
grta,50,18736.6134,936830.67,5.204614833,260.2307417
grta,51,18654.02284,951355.1648,5.181673011,264.2653236
grta,52,18574.62906,965880.7111,5.159619183,268.3001975
grta,53,18498.18847,980403.9889,5.138385686,272.3344414
grta,54,18424.60501,994928.6705,5.117945836,276.3690752
grta,55,18353.69299,1009453.114,5.098248053,280.4036429
grta,56,18301.4879,1024883.322,5.083746639,284.6898118
grta,57,18261.71107,1040917.531,5.072697519,289.1437586
grta,58,18223.30587,1056951.74,5.062029408,293.5977057
grta,59,18186.20262,1072985.955,5.05172295,298.0516541
grta,60,18150.33627,1089020.176,5.041760075,302.5056045
grta,61,18312.53246,1117064.48,5.086814572,310.2956889
grta,62,18598.63085,1153115.113,5.166286347,320.3097535
grta,63,18875.66599,1189166.957,5.243240553,330.3241548
grta,64,19144.04017,1225218.571,5.317788936,340.3384919
grta,65,19404.14355,1261269.331,5.390039875,350.3525919
grta,66,19656.37609,1297320.822,5.460104469,360.366895
grta,67,19901.05435,1333370.641,5.528070653,370.3807337
grta,68,20138.58783,1369423.972,5.594052175,380.3955479
grta,69,20369.18422,1405473.711,5.658106728,390.4093642
grta,70,20593.23811,1441526.668,5.720343919,400.4240744
grta,71,20810.95814,1477578.028,5.780821706,410.4383411
grta,72,21022.61093,1513627.987,5.839614147,420.4522186
grta,73,21264.40496,1552301.562,5.906779156,431.1948784
grta,74,21641.3796,1601462.09,6.011494333,444.8505807
grta,75,22008.30278,1650622.709,6.113417439,458.5063079
grta,76,22365.56904,1699783.247,6.212658067,472.1620131
grta,77,22713.56076,1748944.179,6.309322433,485.8178274
grta,78,22935.26142,1788950.391,6.37090595,496.9306641
grta,79,22644.94165,1788950.39,6.290261569,496.930664
grta,80,22361.87988,1788950.39,6.2116333,496.930664
