,stopid,Station Name,Occupancy,Mile Post,Elevation,Grade_to_next_station,Mile_start,Mile_end,Station_start,Station_end,energy_consumption_kwh,duration (sec),energy_consumption_kwh_per_passenger,CO2,CH4,N2O,CO,VOC,NOx,PM10,PM2.5,SO2,CO2 equivalent,route
0,1,HAMILTON E HOLMES STATION,100.0,0.0,200,-0.0,0.0,1.395040032,HAMILTON E HOLMES STATION,WEST LAKE STATION,61.7440129642,119.0,0.120593775321,0.0703418391023,0.00104734254758,0.00112362221596,0.0619399470081,0.00130953236938,0.0521458643753,0.00641675406597,0.00350768392878,0.235320999205,7.03997892067e-05,blue
1,2,WEST LAKE STATION,100.0,1.395040032,200,-0.0,1.395040032,3.169116374,WEST LAKE STATION,ASHBY STATION,64.3347716211,151.0,0.125653850823,0.0732933597413,0.00109128869947,0.00117076903787,0.0645389269936,0.00136447992072,0.0543338878461,0.00668599897487,0.00365486520301,0.245194991623,7.33537414132e-05,blue
2,3,ASHBY STATION,100.0,3.169116374,200,-0.0,3.169116374,3.933775527,ASHBY STATION,VINE CITY STATION,46.0132572922,87.0,0.0898696431488,0.0524205827518,0.000780507126135,0.000837352734949,0.0461592724788,0.000975897855548,0.0388604653153,0.0047819333672,0.0026140180297,0.175367378355,5.2463768689e-05,blue
3,4,VINE CITY STATION,100.0,3.933775527,200,-0.0,3.933775527,4.318342039,VINE CITY STATION,DOME-GWCC-PHILIPS ARENA-CNN STATION,37.4041432532,62.0,0.0730549672914,0.0426126534406,0.000634473672897,0.000680683426792,0.0375228388918,0.000793306654159,0.0315896438783,0.00388723014235,0.00212493334755,0.142556013809,4.26477592574e-05,blue
4,5,DOME-GWCC-PHILIPS ARENA-CNN STATION,100.0,4.318342039,200,-0.0,4.318342039,4.735654803,DOME-GWCC-PHILIPS ARENA-CNN STATION,FIVE POINTS STATION,35.7460413033,61.0,0.0698164869206,0.0407236615372,0.000606347857341,0.000650509162151,0.0358594752395,0.000758139873271,0.0301892949983,0.0037149116953,0.00203073639982,0.136236596122,4.07572111354e-05,blue
5,6,FIVE POINTS STATION,100.0,4.735654803,200,-0.0,4.735654803,5.229893296,FIVE POINTS STATION,GEORGIA STATE STATION,37.9899891145,62.0,0.0741991974893,0.0432800780756,0.000644411175619,0.000691344694068,0.0381105438346,0.000805731893175,0.0320844196041,0.00394811424483,0.0021582153131,0.144788810591,4.33157337405e-05,blue
6,7,GEORGIA STATE STATION,100.0,5.229893296,200,-0.0,5.229893296,5.827341513,GEORGIA STATE STATION,KING MEMORIAL STATION,42.0556402043,74.0,0.0821399222741,0.0479118692578,0.000713375422766,0.000765331719976,0.0421890965713,0.000891960524083,0.0355180624813,0.00437063752941,0.00238918538296,0.160283966007,4.79513407568e-05,blue
7,8,KING MEMORIAL STATION,100.0,5.827341513,200,-0.0,5.827341513,7.386982723,KING MEMORIAL STATION,INMAN PARK-REYNOLDSTOWN STATION,62.7047172672,137.0,0.122470150913,0.071436321049,0.00106363864568,0.0011411051855,0.0629036999416,0.00132990800293,0.0529572265444,0.00651659537765,0.00356226164218,0.23898246994,7.14951728265e-05,blue
8,9,INMAN PARK-REYNOLDSTOWN STATION,100.0,7.386982723,200,-0.0,7.386982723,8.269888777,INMAN PARK-REYNOLDSTOWN STATION,EDGEWOOD-CANDLER PARK STATION,46.8213616401,96.0,0.0914479719532,0.053341215268,0.000794214723452,0.000852058678967,0.0469699412073,0.000993036987758,0.0395429492955,0.00486591570995,0.00265992652346,0.178447254662,5.33851596549e-05,blue
9,10,EDGEWOOD-CANDLER PARK STATION,100.0,8.269888777,200,-0.0,8.269888777,10.0915,EDGEWOOD-CANDLER PARK STATION,EAST LAKE STATION,68.3122647688,154.0,0.133422392127,0.0778247170274,0.00115875755363,0.00124315175888,0.0685290420342,0.0014488388047,0.057693076993,0.00709936043459,0.00388082701082,0.260354156324,7.78888317923e-05,blue
