road type,fuel type,avg speed mph,energy_kjpermile,energy_kjperhr,energy_kwhpermile,energy_kwhperhr
hwy,diesel,4,67499.68854,269998.7542,18.74992848,74.99971393
hwy,diesel,5,55939.78564,279698.9282,15.53884178,77.69420888
hwy,diesel,6,49700.20928,298201.2557,13.80562473,82.8337484
hwy,diesel,7,45243.32301,316703.2611,12.56759978,87.97319845
hwy,diesel,8,41900.64747,335205.1798,11.63907805,93.11262442
hwy,diesel,9,39300.8405,353707.5645,10.91690887,98.25217985
hwy,diesel,10,37220.96487,372209.6487,10.33916518,103.3916518
hwy,diesel,11,35499.6237,390495.8607,9.861014472,108.4711592
hwy,diesel,12,34023.30131,408279.6157,9.450924591,113.4110951
hwy,diesel,13,32774.05027,426062.6535,9.103910136,118.3508318
hwy,diesel,14,31703.28148,443845.9407,8.806474123,123.2906377
hwy,diesel,15,30775.32315,461629.8473,8.548707714,128.2306157
hwy,diesel,16,29935.41511,478966.6418,8.315399738,133.0463958
hwy,diesel,17,29154.98594,495634.761,8.098613684,137.6764326
hwy,diesel,18,28461.27292,512302.9126,7.905915469,142.3064784
hwy,diesel,19,27840.5719,528970.8661,7.733498381,146.9364692
hwy,diesel,20,27281.94104,545638.8208,7.578323018,151.5664604
hwy,diesel,21,26748.81375,561725.0888,7.430231986,156.0348717
hwy,diesel,22,26158.44927,575485.8839,7.266241721,159.8573179
hwy,diesel,23,25619.36074,589245.297,7.116494788,163.6793801
hwy,diesel,24,25125.22297,603005.3513,6.979234186,167.5016205
hwy,diesel,25,24827.10237,620677.5593,6.896422842,172.4105711
hwy,diesel,26,24702.4266,642263.0916,6.861790656,178.4065571
hwy,diesel,27,24586.99173,663848.7767,6.829725389,184.4025855
hwy,diesel,28,24479.78862,685434.0814,6.799946723,190.3985083
hwy,diesel,29,24379.97804,707019.3632,6.77222154,196.3944247
hwy,diesel,30,24286.8298,728604.894,6.746347008,202.3904102
hwy,diesel,31,24199.68495,750190.2335,6.722140086,208.3863427
hwy,diesel,32,23496.5947,751891.0304,6.526837083,208.8587866
hwy,diesel,33,22233.53096,733706.5217,6.175985763,203.8075302
hwy,diesel,34,21044.75999,715521.8397,5.845771341,198.7562256
hwy,diesel,35,20480.69544,716824.3404,5.689086618,199.1180316
hwy,diesel,36,20308.83289,731117.984,5.641346983,203.0884914
hwy,diesel,37,20146.26525,745411.8143,5.596189269,207.0590029
hwy,diesel,38,19992.25958,759705.864,5.553409882,211.0295755
hwy,diesel,39,19846.1122,773998.3758,5.512813355,214.9997208
hwy,diesel,40,19707.31193,788292.4772,5.474257693,218.9703077
hwy,diesel,41,19575.2594,802585.6354,5.437576406,222.9406326
hwy,diesel,42,19449.49482,816878.7824,5.402641772,226.9109544
hwy,diesel,43,19329.59025,831172.3808,5.36933492,230.8814016
hwy,diesel,44,19215.12243,845465.3869,5.337538278,234.8516842
hwy,diesel,45,19110.38815,859967.4668,5.3084454,238.880043
hwy,diesel,46,19014.69408,874675.9277,5.281863692,242.9657298
hwy,diesel,47,18923.04462,889383.0971,5.256405488,247.051058
hwy,diesel,48,18835.25236,904092.1133,5.23201873,251.136899
hwy,diesel,49,18751.03553,918800.741,5.208625147,255.2226322
hwy,diesel,50,18670.15346,933507.673,5.186157888,259.3078944
hwy,diesel,51,18592.47187,948216.0654,5.164579651,263.3935622
hwy,diesel,52,18517.79759,962925.4747,5.143836779,267.4795125
hwy,diesel,53,18445.89855,977632.6232,5.123864807,271.5648348
hwy,diesel,54,18376.68884,992341.1974,5.104639873,275.6505531
hwy,diesel,55,18309.99158,1007049.537,5.086112841,279.7362063
hwy,diesel,56,18268.40535,1023030.7,5.074561101,284.1754217
hwy,diesel,57,18243.16868,1039860.615,5.06755091,288.8504018
hwy,diesel,58,18218.80224,1056690.53,5.060782449,293.525382
hwy,diesel,59,18195.26186,1073520.45,5.054243449,298.2003635
hwy,diesel,60,18172.5063,1090350.378,5.047922455,302.8753473
hwy,diesel,61,18348.74619,1119273.518,5.096878019,310.9095592
hwy,diesel,62,18649.32962,1156258.436,5.180373483,321.183156
hwy,diesel,63,18940.39037,1193244.593,5.261223756,331.4570966
hwy,diesel,64,19222.35108,1230230.469,5.339546238,341.7309593
hwy,diesel,65,19495.62356,1267215.531,5.415455321,352.0045959
hwy,diesel,66,19760.626,1304201.316,5.489067169,362.2784332
hwy,diesel,67,20017.6923,1341185.384,5.560474532,372.5517936
hwy,diesel,68,20267.25053,1378173.036,5.629796318,382.8261496
hwy,diesel,69,20509.522,1415157.018,5.697094002,393.0994861
hwy,diesel,70,20744.91857,1452144.3,5.762481991,403.3737393
hwy,diesel,71,20973.66128,1489129.951,5.826021683,413.6475395
hwy,diesel,72,21196.02998,1526114.159,5.887790816,423.9209387
hwy,diesel,73,21446.55167,1565598.272,5.95738023,434.8887568
hwy,diesel,74,21825.32865,1615074.32,6.062596142,448.6321145
hwy,diesel,75,22194.00613,1664550.46,6.165006635,462.3754976
hwy,diesel,76,22552.98008,1714026.486,6.264721701,476.1188493
hwy,diesel,77,22902.6356,1763502.941,6.361848312,489.86232
hwy,diesel,78,23125.20398,1803765.91,6.423672911,501.0464871
hwy,diesel,79,22832.47988,1803765.911,6.342360596,501.0464871
hwy,diesel,80,22547.07388,1803765.91,6.263081088,501.0464871
local,cng,1,231973.6211,231973.6211,64.43716852,64.43716852
local,cng,2,117960.3708,235920.7416,32.76679588,65.53359175
local,cng,3,84260.48476,252781.4543,23.40570893,70.2171268
local,cng,4,67410.57584,269642.3034,18.72517494,74.90069974
local,cng,5,58061.52342,290307.6171,16.12821385,80.64106926
local,cng,6,52780.05029,316680.3018,14.66113681,87.96682086
local,cng,7,49007.53933,343052.7753,13.61321626,95.29251383
local,cng,8,46178.13603,369425.0883,12.82727027,102.6181622
local,cng,9,43977.54423,395797.8981,12.21599428,109.9439485
local,cng,10,42217.04364,422170.4364,11.72696595,117.2696595
local,cng,11,40611.2628,446723.8908,11.28091536,124.0900689
local,cng,12,38919.55824,467034.6989,10.81099705,129.7319646
local,cng,13,37488.04851,487344.6306,10.41335514,135.3736168
local,cng,14,36261.06233,507654.8726,10.07252537,141.0153552
local,cng,15,35197.71248,527965.6873,9.777150178,146.6572527
local,cng,16,34249.53758,547992.6013,9.513768049,152.2202888
local,cng,17,33387.98125,567595.6812,9.274446655,157.6655931
local,cng,18,32622.14524,587198.6143,9.06171426,163.1108567
local,cng,19,31936.91993,606801.4787,8.871373745,168.5561012
local,cng,20,31320.21523,626404.3046,8.700066746,174.0013349
local,cng,21,30694.73014,644589.333,8.526320749,179.0527357
local,cng,22,29868.4261,657105.3741,8.296791664,182.5294166
